t,i=1,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,i=2,DISR,IO:1,IOPL:EXT,IOPL:1,OQ:3,OO:3,IS:3,ISPL:3,RM:3,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,i=3,DISR,IO:2,IOPL:EXT,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,BO:2,DI:2,HC,SC,ITHC,REV,TC
0,,False,3.8881198819530796,[],3.8881198819530796,3.8881198819530796,0,[3.8881198819530796],0,3.8881198819530796,3.8881198819530796,1.0,2.6018801180469207,0,0,18.213160826328444,0.0,0.0,0.0,18.213160826328444,,False,3.8881198819530796,[],[],3.8881198819530796,3.8881198819530796,0,[3.8881198819530796],0,3.8881198819530796,3.8881198819530796,1.0,1.6418801180469207,0,0,6.567520472187683,0,15.552479527812318,0.0,22.12,,False,3.8881198819530796,[],[],3.888119881953079,3.888119881953079,0,"[0, 3.888119881953079]",0,3.8881198819530796,3.8881198819530796,1.0,6.80188011804692,0,0,13.60376023609384,0,7.776239763906159,0.0,21.38
1,,False,5.318902184689383,[],5.318902184689383,5.318902184689383,3.8881198819530796,[5.318902184689383],0.0,5.318902184689383,5.318902184689383,1.0,1.1710978153106169,0,0,8.197684707174318,0.0,0.0,0.0,8.197684707174318,,False,5.318902184689383,[],[],5.318902184689383,5.318902184689383,3.8881198819530796,[5.318902184689383],0.0,5.318902184689383,5.318902184689383,1.0,0.2110978153106169,0,0,0.8443912612424676,0,21.275608738757533,0.0,22.12,,False,5.318902184689383,[],[],5.318902184689383,9.207022066642462,0,"[3.888119881953079, 5.318902184689383]",0,5.318902184689383,5.318902184689383,1.0,1.482977933357537,0,0,2.965955866715074,0,10.637804369378767,0.0,13.60376023609384
2,,False,5.279041292200137,[],5.279041292200137,5.279041292200137,5.318902184689383,[5.279041292200137],0.0,5.279041292200137,5.279041292200137,1.0,1.210958707799863,0,0,8.47671095459904,0.0,0.0,0.0,8.47671095459904,,True,5.279041292200137,[],[],5.279041292200137,5.279041292200137,5.318902184689383,[0],0.0,5.279041292200137,5.279041292200137,1.0,0.25095870779986296,0,0,1.0038348311994518,0,21.11616516880055,0.0,22.12,,False,5.279041292200137,[],[],5.279041292200137,10.59794347688952,3.888119881953079,"[5.318902184689383, 5.279041292200137]",0.0,0,0.0,0.6355779233163648,0.09205652311047885,0,5.279041292200137,10.742195630621232,0,0.0,0,10.742195630621232
3,,False,6.010515284806527,[],6.010515284806527,6.010515284806527,5.279041292200137,[0.25095870779986296],0.0,6.010515284806527,6.010515284806527,1.0,0.4794847151934736,0,0,3.356393006354315,0.0,0.0,0.0,3.356393006354315,,False,6.010515284806527,[],[],6.010515284806527,11.289556577006664,0.0,[10.69],0.0,0.25095870779986296,0.25095870779986296,0.7189991228711108,-5.759556577006664,5.759556577006664,0,0.0,0.0,1.0038348311994518,0.0,1.0038348311994518,,False,6.010515284806527,[],[],6.010515284806527,11.289556577006666,5.318902184689383,"[5.279041292200137, 6.010515284806527]",0.0,10.69,10.69,0.9707484557578864,-0.5995565770066644,0.5995565770066644,0.0,0.0,0.0,21.38,0.0,21.38
4,,False,4.419121865976485,[],4.419121865976485,10.178678442983148,0.25095870779986296,[10.178678442983148],0.0,0.7304434229933365,0.7304434229933365,0.8519536530165743,-3.6886784429831483,3.6886784429831483,0,0.0,136.92374380353445,0.0,0.0,136.92374380353445,,True,4.419121865976485,[],[],4.419121865976485,5.01867844298315,10.69,[0],0.0,10.178678442983148,4.419121865976485,0.7688382642590527,0.511321557016851,0.0,0,2.045286228067404,0,40.714713771932594,0.0,42.76,,False,4.419121865976485,[],[],4.419121865976483,10.429637150783012,5.279041292200137,"[6.010515284806527, 4.419121865976483]",0.0,0,0.0,0.7985736567573407,0.26036284921698805,0.0,5.018678442983149,10.558082584400275,0,0.0,0,10.558082584400275
5,,False,4.474830192821853,[],4.474830192821853,4.474830192821852,10.178678442983148,[0.511321557016851],0.0,8.163508635805002,4.4748301928218535,0.8744943233476224,2.0151698071781476,0.0,0,14.106188650247034,0.0,0.0,0.0,14.106188650247034,,True,4.474830192821853,[],[],4.474830192821852,9.493508635805002,0.0,[0],0.0,0.511321557016851,0.511321557016851,0.6691769430348536,-3.9635086358050016,3.9635086358050016,0,0.0,0.0,2.045286228067404,0.0,2.045286228067404,,False,4.474830192821852,[],[],4.47483019282185,8.893952058798336,6.010515284806527,"[4.419121865976483, 4.47483019282185]",0.0,0,0.0,0.6769875055364537,1.796047941201663,0.0,9.493508635805,22.579113154013328,0,0.0,0,22.579113154013328
6,,False,2.3874509873063987,[],2.3874509873063996,6.3509596231114,0.511321557016851,[0.0],0.0,2.3874509873063987,2.3874509873063987,0.8839234511809011,0.13904037688859994,0.0,0,0.9732826382201996,0.0,0.0,0.0,0.9732826382201996,,True,2.3874509873063996,[],[],2.3874509873063996,11.880959623111401,0.0,[0],0.0,0.0,0.0,0.6189022852882176,-6.350959623111401,6.350959623111401,0.0,0.0,0.0,0.0,0.0,0.0,,False,2.3874509873063996,[],[],2.3874509873064014,6.862281180128254,4.419121865976483,"[4.47483019282185, 2.3874509873064014]",0.0,0,0.0,0.6261260473020487,3.8277188198717464,0.0,11.8809596231114,31.417356885966292,0,0.0,0,31.417356885966292
7,,False,5.950369682396903,[],5.950369682396903,12.301329305508304,0.0,[0.0],0.0,0.13904037688859994,0.13904037688859994,0.7481997648191993,-5.811329305508303,5.811329305508303,0,0.0,215.7165438204682,0.0,0.0,215.7165438204682,,True,5.950369682396903,[],[],5.950369682396903,17.831329305508305,0.0,[0],0.0,0.0,0.0,0.5212914101556361,-12.301329305508304,12.301329305508304,0.0,0.0,0.0,0.0,0.0,0.0,,False,5.950369682396903,[],[],5.950369682396901,8.337820669703305,4.47483019282185,"[2.3874509873064014, 5.950369682396901]",0.0,0,0.0,0.5273758683590261,2.3521793302966936,0.0,17.8313293055083,40.36701727160999,0,0.0,0,40.36701727160999
8,,False,4.571953935823766,[],4.571953935823765,16.873283241332068,0.0,[0.0],0.0,0.0,0.0,0.6673319121017706,-10.38328324133207,10.38328324133207,0,0.0,385.4274739182464,0.0,0.0,385.4274739182464,,True,4.571953935823765,[],[],4.571953935823764,22.40328324133207,0.0,[0],0.0,0.0,0.0,0.46494854697722604,-16.873283241332068,16.873283241332068,0.0,0.0,0.0,0.0,0.0,0.0,,False,4.571953935823764,[],[],4.571953935823766,10.52232361822067,2.3874509873064014,"[5.950369682396901, 4.571953935823766]",0.0,0,0.0,0.47037537724086925,0.16767638177933097,0.0,22.403283241332066,45.14191924622279,0,0.0,0,45.14191924622279
9,,False,4.257593162880828,[],4.25759316288083,21.1308764042129,0.0,[0.0],0.0,0.0,0.0,0.6063062240949275,-14.640876404212896,14.640876404212896,0,0.0,543.4693321243827,0.0,0.0,543.4693321243827,,True,4.25759316288083,[],[],4.257593162880829,26.6608764042129,0.0,[0],0.0,0.0,0.0,0.4224302671639567,-21.1308764042129,21.1308764042129,0.0,0.0,0.0,0.0,0.0,0.0,,False,4.257593162880829,[],[],4.257593162880827,8.829547098704595,5.950369682396901,"[4.571953935823766, 4.257593162880827]",0.0,0,0.0,0.42736082856269253,1.8604529012954032,0.0,26.660876404212893,57.04265861101659,0,0.0,0,57.04265861101659
