t,|i=0,DISR,IO:1,IO:2,IOPL:1,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,OS:2,DMFS,FR,IL,BO:1,BO:2,DI:1,DI:2,HC,SC,ITHC,REV,TC,|i=1,DISR,IO:3,IO:4,IOPL:3,IOPL:4,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:3,OS:4,DMFS,FR,IL,BO:3,BO:4,DI:3,DI:4,HC,SC,ITHC,REV,TC,|i=2,DISR,IO:5,IO:6,IOPL:5,IOPL:6,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:5,OS:6,DMFS,FR,IL,BO:5,BO:6,DI:5,DI:6,HC,SC,ITHC,REV,TC,|i=3,DISR,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=4,DISR,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=5,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=6,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC
0,|,False,22.13971878721396,14.675474923641065,[0],[0],36.81519371085503,36.81519371085503,0,"[0, 36.81519371085503]",0,0.0,0.0,0.0,0.0,-36.81519371085503,22.13971878721396,14.675474923641065,0.0,0.0,0.0,736.3038742171005,0.0,0.0,736.3038742171005,|,False,9.831939829551205,12.307778957662755,[0],[0],22.13971878721396,22.13971878721396,0,"[0, 0.0]",0,0.0,0.0,0.0,0.0,-22.13971878721396,9.831939829551205,12.307778957662755,0.0,0.0,0.0,442.79437574427914,0.0,0.0,442.79437574427914,|,False,7.337714243581658,7.337760680059406,[0],[0],14.675474923641065,14.675474923641065,0,"[0, 0.0]",0,0.0,0.0,0.0,0.0,-14.675474923641065,7.337714243581658,7.337760680059406,0.0,0.0,0.0,293.5094984728213,0.0,0.0,293.5094984728213,|,False,9.831939829551205,[0],9.831939829551205,9.831939829551205,0,"[0, 0.0]",0,0.0,0.0,0.0,-9.831939829551205,9.831939829551205,0,0.0,196.6387965910241,0.0,0.0,196.6387965910241,|,False,12.307778957662755,[0],12.307778957662755,12.307778957662755,0,"[0, 0.0]",0,0.0,0.0,0.0,-12.307778957662755,12.307778957662755,0,0.0,246.1555791532551,0.0,0.0,246.1555791532551,|,False,7.337714243581658,[0],7.337714243581658,7.337714243581658,0,"[0, 0.0]",0,0.0,0.0,0.0,-7.337714243581658,7.337714243581658,0,0.0,146.75428487163316,0.0,0.0,146.75428487163316,|,False,7.337760680059406,[0],7.337760680059406,7.337760680059406,0,"[0, 0.0]",0,0.0,0.0,0.0,-7.337760680059406,7.337760680059406,0,0.0,146.75521360118813,0.0,0.0,146.75521360118813
1,|,False,22.63732156753624,16.206717456530036,[0],[0],38.84403902406628,38.84403902406628,36.81519371085503,"[0.0, 38.84403902406628]",0.0,36.81519371085503,0.0,14.675474923641069,0.1939680643479147,-38.84403902406628,7.961846643895171,30.8821923801711,0.0,0.0,0.0,776.8807804813255,12.271731236951675,0.0,789.1525117182772,|,False,12.466688363127908,10.170633204408333,[0],[0],22.63732156753624,44.7770403547502,0.0,"[0.0, 36.81519371085503]",0.0,0.0,0.0,0.0,0.0,-44.7770403547502,22.29862819267911,22.478412162071088,0.0,0.0,0.0,895.540807095004,0.0,0.0,895.540807095004,|,False,6.672125912448021,9.534591544082017,[0],[0],16.206717456530036,30.8821923801711,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-30.882192380171105,14.009840156029679,16.872352224141423,0.0,0.0,0.0,617.643847603422,0.0,0.0,617.643847603422,|,False,12.466688363127908,[0],12.466688363127908,22.29862819267911,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-22.29862819267911,22.29862819267911,0,0.0,445.9725638535822,0.0,0.0,445.9725638535822,|,False,10.170633204408333,[0],10.170633204408333,22.478412162071088,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-22.478412162071088,22.478412162071088,0,0.0,449.5682432414218,0.0,0.0,449.5682432414218,|,False,6.672125912448021,[0],6.672125912448021,14.009840156029679,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-14.009840156029679,14.009840156029679,0,0.0,280.1968031205936,0.0,0.0,280.1968031205936,|,False,9.534591544082017,[0],9.534591544082017,16.872352224141423,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-16.872352224141423,16.872352224141423,0,0.0,337.44704448282846,0.0,0.0,337.44704448282846
2,|,False,11.272798910831431,9.530806314950052,[0],[0],20.80360522578148,20.80360522578148,38.84403902406628,"[0.0, 20.80360522578148]",0.0,19.234645554726605,19.609393469339672,11.272798910831433,0.2689976200476639,-20.80360522578148,0.0,20.80360522578148,0.0,0.0,0.0,416.07210451562963,12.948013008022091,0.0,429.0201175236517,|,False,8.684372652062574,2.588426258768857,[0],[0],11.272798910831431,19.234645554726605,36.81519371085503,"[0.0, 19.234645554726605]",0.0,30.983000844741685,5.832192866113342,8.684372652062574,0.15494018833690684,-19.234645554726605,0.0,19.234645554726605,0.0,0.0,0.0,384.69291109453206,24.54346247390335,0.0,409.2363735684354,|,False,3.1211956145617323,6.409610700388316,[0],[0],9.530806314950052,40.41299869512115,0.0,"[0.0, 19.609393469339672]",0.0,0,0.0,0.0,0.0,-40.41299869512115,17.13103577059141,23.28196292452974,0.0,0.0,0.0,808.2599739024231,0.0,0.0,808.2599739024231,|,False,8.684372652062574,[0],8.684372652062574,30.983000844741685,0.0,"[0.0, 30.983000844741685]",0.0,0.0,0.0,0.0,-30.983000844741685,30.983000844741685,0,0.0,619.6600168948337,0.0,0.0,619.6600168948337,|,False,2.588426258768857,[0],2.588426258768857,25.066838420839943,0.0,"[0.0, 5.832192866113342]",0.0,0.0,0.0,0.0,-25.066838420839943,25.066838420839943,0,0.0,501.33676841679886,0.0,0.0,501.33676841679886,|,True,3.1211956145617323,[0],3.1211956145617323,17.13103577059141,0.0,"[0.0, 0]",0.0,0.0,0.0,0.0,-17.13103577059141,17.13103577059141,0,0.0,342.6207154118282,0.0,0.0,342.6207154118282,|,False,6.409610700388316,[0],6.409610700388316,23.28196292452974,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-23.28196292452974,23.28196292452974,0,0.0,465.6392584905948,0.0,0.0,465.6392584905948
3,|,False,9.437121977637045,19.50688892094762,[0],[0],28.944010898584665,28.944010898584665,20.80360522578148,"[0.0, 28.944010898584665]",0.0,9.437121977637045,11.366483248144437,9.437121977637045,0.2821647791486546,-28.944010898584665,0.0,28.944010898584665,0.0,0.0,0.0,578.8802179716934,6.934535075260493,0.0,585.8147530469538,|,False,5.431720074873224,4.005401902763819,[0],[0],9.437121977637045,9.437121977637045,19.234645554726605,"[0.0, 9.437121977637045]",0.0,5.431720074873224,13.80292547985338,5.431720074873224,0.21555577566820683,-9.437121977637045,0.0,9.437121977637045,0.0,0.0,0.0,188.7424395527409,12.823097036484402,0.0,201.5655365892253,|,False,12.145480733368585,7.361408187579036,[0],[0],19.50688892094762,40.310494146729106,19.609393469339672,"[0.0, 11.366483248144437]",0.0,0,0.0,0.0,0.0,-40.310494146729106,9.667123034620323,30.643371112108774,19.609393469339672,0.0,13.07292897955978,806.2098829345821,0.0,0.0,819.2828119141419,|,False,5.431720074873224,[0],5.431720074873224,5.431720074873223,30.983000844741685,"[0.0, 5.431720074873224]",0.0,30.983000844741685,0.0,0.0,-5.431720074873224,5.431720074873224,0,0.0,108.6344014974645,0.0,0.0,108.6344014974645,|,False,4.005401902763819,[0],4.005401902763819,23.24004745749042,5.832192866113342,"[0.0, 13.80292547985338]",0.0,5.832192866113342,0.0,0.0,-23.24004745749042,23.24004745749042,0,0.0,464.8009491498084,0.0,0.0,464.8009491498084,|,True,12.145480733368585,[0],12.145480733368585,29.276516503959996,0.0,"[0.0, 0]",0.0,0.0,0.0,0.0,-29.276516503959996,29.276516503959996,0,0.0,585.5303300792,0.0,0.0,585.5303300792,|,False,7.361408187579036,[0],7.361408187579036,30.643371112108774,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-30.643371112108774,30.643371112108774,0,0.0,612.8674222421755,0.0,0.0,612.8674222421755
4,|,False,14.77398959719222,13.807133011012395,[0],[0],28.581122608204616,28.581122608204616,28.944010898584665,"[0.0, 28.581122608204616]",0.0,14.77398959719222,14.170021301392445,14.77398959719222,0.3257357372221165,-28.581122608204616,0.0,28.581122608204616,0.0,0.0,0.0,571.6224521640924,9.648003632861554,0.0,581.2704557969539,|,False,6.460253135709742,8.313736461482478,[0],[0],14.77398959719222,14.77398959719222,9.437121977637045,"[0.0, 14.77398959719222]",0.0,6.460253135709742,2.9768688419273026,6.460253135709742,0.2563680799590712,-14.77398959719222,0.0,14.77398959719222,0.0,0.0,0.0,295.47979194384436,6.291414651758029,0.0,301.7712065956024,|,False,4.744498545210105,9.06263446580229,[0],[0],13.807133011012395,42.75114390959706,11.366483248144437,"[0.0, 14.170021301392445]",0.0,30.97587671748411,0.0,21.308753682863788,0.2890223082612499,-42.75114390959706,3.0451383316859886,39.706005577911064,0.0,0.0,0.0,855.0228781919412,20.650584478322738,0.0,875.6734626702639,|,False,6.46025313570974,[0],6.460253135709742,6.46025313570974,5.431720074873224,"[0.0, 6.460253135709742]",0.0,5.431720074873224,0.0,0.0,-6.46025313570974,6.46025313570974,0,0.0,129.2050627141948,0.0,0.0,129.2050627141948,|,False,8.313736461482478,[0],8.313736461482478,17.75085843911952,13.80292547985338,"[0.0, 2.9768688419273026]",0.0,13.80292547985338,0.0,0.0,-17.75085843911952,17.75085843911952,0,0.0,355.0171687823904,0.0,0.0,355.0171687823904,|,False,4.744498545210105,[0],4.744498545210105,34.0210150491701,0.0,"[0.0, 30.97587671748411]",0.0,0.0,0.0,0.0,-34.0210150491701,34.0210150491701,0,0.0,680.4203009834021,0.0,0.0,680.4203009834021,|,False,9.06263446580229,[0],9.06263446580229,39.706005577911064,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-39.706005577911064,39.706005577911064,0,0.0,794.1201115582213,0.0,0.0,794.1201115582213
5,|,False,13.476102723227402,19.537150556471943,[0],[0],33.01325327969934,33.01325327969934,28.581122608204616,"[0.0, 33.01325327969934]",0.0,13.476102723227402,15.105019884977214,13.476102723227402,0.34029449923955607,-33.01325327969934,0.0,33.01325327969934,0.0,0.0,0.0,660.2650655939868,9.527040869401539,0.0,669.7921064633883,|,False,6.301137237261636,7.174965485965767,[0],[0],13.476102723227402,13.476102723227402,14.77398959719222,"[0.0, 13.476102723227402]",0.0,6.301137237261636,8.472852359930584,6.301137237261636,0.28673274951681715,-13.476102723227402,0.0,13.476102723227402,0.0,0.0,0.0,269.52205446454803,9.849326398128145,0.0,279.3713808626762,|,False,6.2981166968312365,13.239033859640708,[0],[0],19.537150556471943,48.11827316467656,14.170021301392445,"[0.0, 15.105019884977214]",0.0,9.343255028517225,4.82676627287522,6.2981166968312365,0.296007245111973,-48.11827316467656,0.0,48.11827316467655,0.0,0.0,0.0,962.3654632935312,9.446680867594964,0.0,971.8121441611262,|,False,6.301137237261636,[0],6.301137237261636,6.301137237261635,6.460253135709742,"[0.0, 6.301137237261636]",0.0,6.460253135709742,1.7763568394002505e-15,3.612235275846326e-17,-6.301137237261634,6.301137237261634,0,0.0,126.02274474523269,0.0,0.0,126.02274474523269,|,False,7.174965485965767,[0],7.174965485965767,21.948955083157983,2.9768688419273026,"[0.0, 8.472852359930584]",0.0,2.9768688419273026,0.0,0.0,-21.948955083157983,21.948955083157983,0,0.0,438.97910166315967,0.0,0.0,438.97910166315967,|,False,6.2981166968312365,[0],6.2981166968312365,9.34325502851723,30.97587671748411,"[0.0, 9.343255028517225]",0.0,30.97587671748411,0.0,0.0,-9.34325502851723,9.34325502851723,0,0.0,186.86510057034462,0.0,0.0,186.86510057034462,|,False,13.239033859640708,[0],13.239033859640708,52.94503943755177,0.0,"[0.0, 4.82676627287522]",0.0,0.0,0.0,0.0,-52.94503943755177,52.94503943755177,0,0.0,1058.9007887510354,0.0,0.0,1058.9007887510354
6,|,False,14.873441046062446,11.04797132354717,[0],[0],25.921412369609616,25.921412369609612,33.01325327969934,"[0.0, 25.921412369609616]",0.0,14.873441046062446,18.139812233636896,14.873441046062446,0.368720443451603,-25.921412369609616,0.0,25.921412369609616,0.0,0.0,0.0,518.4282473921924,11.00441775989978,0.0,529.4326651520921,|,False,10.326508340714629,4.5469327053478175,[0],[0],14.873441046062446,14.873441046062446,13.476102723227402,"[0.0, 14.873441046062446]",0.0,10.326508340714629,3.149594382512774,10.326508340714629,0.34254508806277795,-14.873441046062446,0.0,14.873441046062446,0.0,0.0,0.0,297.46882092124895,8.984068482151601,0.0,306.45288940340055,|,False,8.590755457483453,2.4572158660637156,[0],[0],11.04797132354717,44.061224603246515,15.105019884977214,"[0.0, 18.139812233636896]",0.0,8.590755457483453,6.51426442749376,8.590755457483453,0.347012581346554,-44.06122460324651,0.0,44.06122460324651,0.0,0.0,0.0,881.2244920649301,10.070013256651475,0.0,891.2945053215816,|,False,10.32650834071463,[0],10.326508340714629,10.326508340714629,6.301137237261636,"[0.0, 10.326508340714629]",0.0,6.301137237261636,1.7763568394002505e-15,5.970684485313329e-17,-10.326508340714629,10.326508340714629,0,0.0,206.53016681429256,0.0,0.0,206.53016681429256,|,False,4.5469327053478175,[0],4.5469327053478175,18.023035428575216,8.472852359930584,"[0.0, 3.149594382512774]",0.0,8.472852359930584,0.0,0.0,-18.023035428575216,18.023035428575216,0,0.0,360.4607085715043,0.0,0.0,360.4607085715043,|,False,8.590755457483453,[0],8.590755457483453,8.590755457483459,9.343255028517225,"[0.0, 8.590755457483453]",0.0,9.343255028517225,0.0,0.0,-8.590755457483459,8.590755457483459,0,0.0,171.81510914966918,0.0,0.0,171.81510914966918,|,False,2.4572158660637156,[0],2.4572158660637156,50.575489030740265,4.82676627287522,"[0.0, 6.51426442749376]",0.0,4.82676627287522,0.0,0.0,-50.575489030740265,50.575489030740265,0,0.0,1011.5097806148053,0.0,0.0,1011.5097806148053
7,|,False,18.573401600416418,14.821247401196722,[0],[0],33.394649001613146,33.394649001613146,25.921412369609616,"[0.0, 33.394649001613146]",0.0,18.573401600416418,7.348010769193198,18.573401600416418,0.39413527287864336,-33.39464900161314,0.0,33.39464900161314,0.0,0.0,0.0,667.8929800322628,8.640470789869871,0.0,676.5334508221326,|,False,10.088698905577571,8.484702694838845,[0],[0],18.573401600416418,18.573401600416418,14.873441046062446,"[0.0, 18.573401600416418]",0.0,10.088698905577571,4.784742140484875,10.088698905577571,0.3718449564406202,-18.573401600416418,0.0,18.573401600416418,0.0,0.0,0.0,371.46803200832835,9.91562736404163,0.0,381.38365937237,|,False,7.6728972611627935,7.148350140033935,[0],[0],14.821247401196722,40.74265977080634,18.139812233636896,"[0.0, 7.348010769193198]",0.0,0,10.466914972474102,0.0,0.30384114701211484,-40.74265977080634,0.0,40.74265977080634,7.6728972611627935,0.0,5.115264840775195,814.8531954161268,6.977943314982735,0.0,826.9464035718848,|,False,10.088698905577571,[0],10.088698905577571,10.08869890557757,10.326508340714629,"[0.0, 10.088698905577571]",0.0,10.326508340714629,0.0,5.10511045543089e-17,-10.088698905577571,10.088698905577571,0,0.0,201.77397811155143,0.0,0.0,201.77397811155143,|,False,8.484702694838845,[0],8.484702694838845,23.358143740901287,3.149594382512774,"[0.0, 4.784742140484875]",0.0,3.149594382512774,0.0,0.0,-23.358143740901287,23.358143740901287,0,0.0,467.1628748180257,0.0,0.0,467.1628748180257,|,True,7.6728972611627935,[0],7.6728972611627935,7.672897261162799,8.590755457483453,"[0.0, 0]",0.0,8.590755457483453,0.0,0.0,-7.672897261162799,7.672897261162799,0,0.0,153.457945223256,0.0,0.0,153.457945223256,|,False,7.148350140033935,[0],7.148350140033935,51.20957474328044,6.51426442749376,"[0.0, 10.466914972474102]",0.0,6.51426442749376,0.0,0.0,-51.209574743280434,51.209574743280434,0,0.0,1024.1914948656088,0.0,0.0,1024.1914948656088
8,|,False,17.68710998431725,11.985268693329626,[0],[0],29.67237867764687,29.67237867764687,33.394649001613146,"[0.0, 29.67237867764687]",0.0,17.68710998431725,15.707539017295897,17.68710998431725,0.41584687907836215,-29.67237867764687,0.0,29.67237867764687,0.0,0.0,0.0,593.4475735529373,11.131549667204382,0.0,604.5791232201417,|,False,6.697116805507591,10.989993178809659,[0],[0],17.68710998431725,17.687109984317246,18.573401600416418,"[0.0, 17.68710998431725]",0.0,6.697116805507591,11.876284794908827,6.697116805507591,0.37267503394879525,-17.68710998431725,0.0,17.68710998431725,0.0,0.0,0.0,353.742199686345,12.382267733610945,0.0,366.1244674199559,|,False,8.971899290774328,3.0133694025552984,[0],[0],11.985268693329626,45.379917694942776,7.348010769193198,"[0.0, 15.707539017295897]",0.0,0,0.0,0.0,0.27606769488968375,-45.379917694942776,1.6238885215811294,43.75602917336164,15.020908030355992,0.0,10.013938686903995,907.5983538988555,0.0,0.0,917.6122925857595,|,False,6.697116805507589,[0],6.697116805507591,6.697116805507589,10.088698905577571,"[0.0, 6.697116805507591]",0.0,10.088698905577571,0.0,4.656949199131712e-17,-6.697116805507589,6.697116805507589,0,0.0,133.94233611015179,0.0,0.0,133.94233611015179,|,False,10.989993178809659,[0],10.989993178809659,29.563394779226073,4.784742140484875,"[0.0, 11.876284794908827]",0.0,4.784742140484875,0.0,0.0,-29.56339477922607,29.56339477922607,0,0.0,591.2678955845214,0.0,0.0,591.2678955845214,|,True,8.971899290774328,[0],8.971899290774328,16.644796551937127,0.0,"[0.0, 0]",0.0,0.0,0.0,0.0,-16.644796551937127,16.644796551937127,0,0.0,332.89593103874256,0.0,0.0,332.89593103874256,|,False,3.0133694025553055,[0],3.0133694025552984,43.75602917336164,10.466914972474102,"[0.0, 0.0]",0.0,10.466914972474102,0.0,0.0,-43.75602917336164,43.75602917336164,0,0.0,875.1205834672328,0.0,0.0,875.1205834672328
9,|,False,15.815457259918773,21.550164964673037,[0],[0],37.36562222459181,37.36562222459181,29.67237867764687,"[0.0, 37.36562222459181]",0.0,15.815457259918773,13.856921417728095,15.815457259918773,0.4167311145914617,-37.36562222459181,0.0,37.36562222459181,0.0,0.0,0.0,747.3124444918362,9.890792892548955,0.0,757.2032373843851,|,False,6.0853754529971775,9.730081806921593,[0],[0],15.815457259918773,15.81545725991877,17.68710998431725,"[0.0, 15.815457259918773]",0.0,6.0853754529971775,11.601734531320073,6.0853754529971775,0.37386585847519094,-15.81545725991877,0.0,15.81545725991877,0.0,0.0,0.0,316.3091451983754,11.7914066562115,0.0,328.1005518545869,|,False,10.916107015027919,10.634057949645118,[0],[0],21.550164964673037,51.222543642319906,15.707539017295897,"[0.0, 13.856921417728095]",0.0,27.560903566965038,3.1675434806868505,25.93701504538391,0.40698971427901975,-51.22254364231991,1.7763568394002505e-15,51.222543642319906,0.0,0.0,0.0,1024.4508728463982,20.48563136510126,0.0,1044.9365042114994,|,False,6.0853754529971775,[0],6.0853754529971775,6.085375452997177,6.697116805507591,"[0.0, 6.0853754529971775]",0.0,6.697116805507591,1.7763568394002505e-15,6.469374752260507e-17,-6.085375452997176,6.085375452997176,0,0.0,121.70750905994352,0.0,0.0,121.70750905994352,|,False,9.730081806921596,[0],9.730081806921593,27.417191791238835,11.876284794908827,"[0.0, 11.601734531320073]",0.0,11.876284794908827,0.0,0.0,-27.41719179123884,27.41719179123884,0,0.0,548.3438358247768,0.0,0.0,548.3438358247768,|,False,10.916107015027919,[0],10.916107015027919,27.560903566965045,0.0,"[0.0, 27.560903566965038]",0.0,0.0,0.0,0.0,-27.560903566965045,27.560903566965045,0,0.0,551.2180713393009,0.0,0.0,551.2180713393009,|,False,10.634057949645118,[0],10.634057949645118,54.39008712300676,0.0,"[0.0, 3.1675434806868505]",0.0,0.0,0.0,0.0,-54.39008712300676,54.39008712300676,0,0.0,1087.801742460135,0.0,0.0,1087.801742460135
