t,|i=1,DISR,IO:EXT,IOPL:EXT,OQ:2,OQ:3,OO:2,OO:3,IS:2,IS:3,ISPL:2,ISPL:3,RM:2,RM:3,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=2,DISR,IO:1,IOPL:1,OQ:5,OO:5,IS:5,ISPL:5,RM:5,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,|i=3,DISR,IO:1,IOPL:1,OQ:4,OO:4,IS:4,ISPL:4,RM:4,OS:1,DMFS,FR,IL,BO:1,DI:1,HC,SC,ITHC,REV,TC,|i=4,DISR,IO:3,IOPL:3,OQ:6,OQ:7,OO:6,OO:7,IS:6,IS:7,ISPL:6,ISPL:7,RM:6,RM:7,OS:3,DMFS,FR,IL,BO:3,DI:3,HC,SC,ITHC,REV,TC,|i=5,DISR,IO:2,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:2,DMFS,FR,IL,BO:2,DI:2,HC,SC,ITHC,REV,TC,|i=6,DISR,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,BO:4,DI:4,HC,SC,ITHC,REV,TC,|i=7,DISR,IO:4,IOPL:4,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:4,DMFS,FR,IL,BO:4,DI:4,HC,SC,ITHC,REV,TC
0,|,False,10,[0],10,10,10,10,0,0,"[0, 8]","[0, 10]",0,0,8,8.0,0.8,-2,2,0,0,0,0.0,0,0.0,|,False,10,[0],18,18,0,"[0, 18]",0,8,8.0,0.8,-2,2,0,0,0,0,0,0,|,False,10,[0],18,18,0,"[0, 0, 0, 16]",0,10,10.0,1.0,14,0,0,0,0,0,0,0,|,False,18,[0],44,44,44,44,0,0,"[0, 0, 8]","[0, 0, 16]",0,0,16,16.0,0.8888888888888888,-2,2,0,0,0,0,0,0,|,False,18,[0],26,26,0,"[0, 0, 0, 0, 26]",0,18,18.0,1.0,14,0,0,0,0,0,0,0,|,False,44,[0],52,52,0,"[0, 52]",0,8,8.0,0.18181818181818182,-36,36,0,0,0,0,0,0,|,False,44,[0],72,72,0,"[0, 0, 72]",0,16,16.0,0.36363636363636365,-28,28,0,0,0,0,0,0
1,|,False,4,[0],2,2,4,2,8,10,"[0, 4]","[0, 2]",0,2,6,4.0,0.8571428571428571,2,0,0,0,0,0.0,0,0.0,|,False,2,[0],0.0,0.0,18,"[0, 0.0]",0,4,2.0,0.8333333333333334,14,0,0,0,0,0,0,0,|,False,2,[0],0.0,18.0,0,"[0, 0, 16, 0.0]",0,2,2.0,1.0,12,0,0,0,0,0,0,0,|,False,0.0,[0],0.0,0.0,44.0,44.0,0,0,"[0, 8, 36.0]","[0, 16, 0.0]",0,0,0.0,0.0,0.8888888888888888,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,0.0,[0],0.0,26.0,0,"[0, 0, 0, 26, 0.0]",0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,52,"[0, 0.0]",0,36.0,0.0,0.18181818181818182,16.0,0.0,0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,72.0,0,"[0, 72, 0.0]",0,0.0,0.0,0.36363636363636365,-28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
2,|,False,2,[0],4,4,4,4,4,2,"[0, 4]","[0, 4]",0,0,2,2.0,0.875,4,0,0,0,0,0.0,0,0.0,|,False,4,[0],8.0,8.0,0.0,"[0.0, 8.0]",0.0,4,4.0,0.875,10.0,0,0,0.0,0,0,0,0.0,|,False,4,[0],2.0,20.0,0,"[0, 16, 0.0, 4.0]",0,4,4.0,1.0,8,0,0,0,0,0,0,0,|,False,2.0,[0],0.0,0.0,36.0,28.0,8,16,"[0, 36.0, 0.0]","[0, 0.0, 28.0]",0,8,4.0,2.0,0.9,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,8.0,[0],10.0,36.0,0,"[0, 0, 26, 0.0, 10.0]",0,8.0,8.0,1.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.18181818181818182,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,72,"[0, 0.0, 0.0]",0,28.0,0.0,0.36363636363636365,44.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,|,False,10,[0],10,10,10,10,4,4,"[0, 10]","[0, 10]",0,0,8,8.0,0.8461538461538461,-2,2,0,0,0,0.0,0,0.0,|,False,10,[0],0.0,0.0,8.0,"[0.0, 0.0]",0.0,10,10.0,0.9230769230769231,8.0,0,0,0.0,0,0,0,0.0,|,False,10,[0],14.0,18.0,16,"[0, 0.0, 4.0, 12.0]",0,10,10.0,1.0,14,0,0,0,0,0,0,0,|,False,14.0,[0],6.0,6.0,6.0,34.0,36.0,0.0,"[0.0, 0.0, 6.0]","[0.0, 28.0, 6.0]",28.0,0.0,12.0,12.0,0.8823529411764706,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,|,False,0.0,[0],0.0,36.0,0,"[0, 26, 0.0, 10.0, 0.0]",0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,6.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,6.0,6.0,0.28,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,6.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,6.0,6.0,0.44,38.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,|,False,3,[0],3,3,3,3,10,10,"[0, 3]","[0, 3]",0,0,5,3.0,0.8620689655172413,5,0,0,0,0,0.0,0,0.0,|,False,3,[0],11.0,11.0,0.0,"[0.0, 11.0]",0.0,3,3.0,0.9310344827586207,5.0,0,0,0.0,0,0,0,0.0,|,False,3,[0],1.0,19.0,0.0,"[0.0, 4.0, 12.0, 3.0]",0.0,3,3.0,1.0,11.0,0,0,0.0,0,0,0,0.0,|,False,1.0,[0],0.0,0.0,6.0,6.0,0.0,28.0,"[0.0, 6.0, 0.0]","[0.0, 6.0, 0.0]",0.0,0.0,3.0,1.0,0.8857142857142857,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,11.0,[0],7.0,17.0,26,"[0, 0.0, 10.0, 0.0, 7.0]",0,11.0,11.0,1.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],30.0,30.0,0.0,"[0.0, 30.0]",0.0,0.0,0.0,0.28,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.44,38.0,0.0,0.0,0.0,0,0.0,0.0,0.0
5,|,False,2,[0],2,2,2,2,3,3,"[0, 2]","[0, 2]",0,0,2,2.0,0.8709677419354839,6,0,0,0,0,0.0,0,0.0,|,False,2,[0],2.0,2.0,11.0,"[0.0, 2.0]",0.0,2,2.0,0.9354838709677419,14.0,0,0,0.0,0,0,0,0.0,|,False,2,[0],4.0,19.0,4.0,"[0.0, 12.0, 3.0, 4.0]",0.0,2,2.0,1.0,13.0,0,0,0.0,0,0,0,0.0,|,False,4.0,[0],0.0,0.0,0.0,0.0,6.0,6.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.0,0.0,4.0,4.0,0.8974358974358975,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,2.0,[0],2.0,19.0,0.0,"[0.0, 10.0, 0.0, 7.0, 2.0]",0.0,2.0,2.0,1.0,19.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,30.0,"[0.0, 0.0]",0.0,0.0,0.0,0.28,40.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.44,38.0,0.0,0.0,0.0,0,0.0,0.0,0.0
6,|,False,1,[0],1,1,1,1,2,2,"[0, 1]","[0, 1]",0,0,1,1.0,0.875,7,0,0,0,0,0.0,0,0.0,|,False,1,[0],0.0,0.0,2.0,"[0.0, 0.0]",0.0,1,1.0,0.9375,15.0,0,0,0.0,0,0,0,0.0,|,False,1,[0],1.0,8.0,12.0,"[0.0, 3.0, 4.0, 1.0]",0.0,1,1.0,1.0,24.0,0,0,0.0,0,0,0,0.0,|,True,1.0,[0],0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0]","[0.0, 0.0, 0]",0.0,0.0,1.0,1.0,0.9,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,9.0,10.0,"[0.0, 0.0, 7.0, 2.0, 0.0]",0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0,0.0,0.28,40.0,0.0,0.0,0.0,0,0.0,0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0,0.0,0.44,38.0,0.0,0.0,0.0,0,0.0,0,0.0
7,|,False,5,[0],5,5,5,5,1,1,"[0, 5]","[0, 5]",0,0,5,5.0,0.8918918918918919,3,0,0,0,0,0.0,0,0.0,|,False,5,[0],6.0,6.0,0.0,"[0.0, 6.0]",0.0,5,5.0,0.9459459459459459,10.0,0,0,0.0,0,0,0,0.0,|,False,5,[0],5.0,10.0,3.0,"[0.0, 4.0, 1.0, 5.0]",0.0,5,5.0,1.0,22.0,0,0,0.0,0,0,0,0.0,|,True,5.0,[0],7.0,7.0,7.0,7.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,5.0,5.0,0.9111111111111111,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,6.0,[0],7.0,16.0,0.0,"[0.0, 7.0, 2.0, 0.0, 7.0]",0.0,6.0,6.0,1.0,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,7.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0,0.0,0.24561403508771928,33.0,0.0,7.0,0.0,0,0.0,0,0.0,|,False,7.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0,0.0,0.38596491228070173,31.0,0.0,7.0,0.0,0,0.0,0,0.0
8,|,False,4,[0],4,4,4,4,5,5,"[0, 4]","[0, 4]",0,0,4,4.0,0.9024390243902439,4,0,0,0,0,0.0,0,0.0,|,False,4,[0],4.0,4.0,6.0,"[0.0, 4.0]",0.0,4,4.0,0.9512195121951219,12.0,0,0,0.0,0,0,0,0.0,|,False,4,[0],4.0,10.0,4.0,"[0.0, 1.0, 5.0, 4.0]",0.0,4,4.0,1.0,22.0,0,0,0.0,0,0,0,0.0,|,True,4.0,[0],0.0,0.0,7.0,7.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,4.0,4.0,0.9183673469387755,17.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,4.0,[0],3.0,12.0,7.0,"[0.0, 2.0, 0.0, 7.0, 3.0]",0.0,4.0,4.0,1.0,26.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0]",0.0,0,0.0,0.24561403508771928,33.0,0.0,7.0,0.0,0,0.0,0,0.0,|,False,0.0,[0],0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0,0.0,0.38596491228070173,31.0,0.0,7.0,0.0,0,0.0,0,0.0
9,|,False,9,[0],9,9,9,9,4,4,"[0, 9]","[0, 9]",0,0,8,8.0,0.9,-1,1,0,0,0,0.0,0,0.0,|,False,9,[0],9.0,9.0,4.0,"[0.0, 9.0]",0.0,9,9.0,0.96,7.0,0,0,0.0,0,0,0,0.0,|,False,9,[0],9.0,18.0,1.0,"[0.0, 5.0, 4.0, 9.0]",0.0,9,9.0,1.0,14.0,0,0,0.0,0,0,0,0.0,|,True,9.0,[0],14.0,14.0,21.0,21.0,0.0,0.0,"[0.0, 0, 0]","[0.0, 0, 0]",0.0,0.0,9.0,9.0,0.9310344827586207,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,9.0,[0],9.0,19.0,2.0,"[0.0, 0.0, 7.0, 3.0, 9.0]",0.0,9.0,9.0,1.0,19.0,0.0,0.0,0.0,0,0.0,0.0,0.0,|,False,14.0,[0],8.0,8.0,0.0,"[0.0, 8.0]",0.0,0,0.0,0.19718309859154928,19.0,0.0,21.0,0.0,0,0.0,0,0.0,|,False,14.0,[0],18.0,18.0,0.0,"[0.0, 0.0, 18.0]",0.0,0,0.0,0.30985915492957744,17.0,0.0,21.0,0.0,0,0.0,0,0.0
