t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,40.82375026771819,[0],100.8237502677182,100.8237502677182,100.8237502677182,100.8237502677182,0,0,"[0, 0.0, 0]","[0, 0.0, 0]",0,0,0.0,0.0,0.0,-40.82375026771819,0,0.0,0.0,0.0,|,100.8237502677182,[0],160.8237502677182,160.8237502677182,0,"[0, 160.8237502677182, 0]",0,0.0,0.0,0.0,-100.8237502677182,0,0.0,0.0,0.0,|,100.8237502677182,[0],160.8237502677182,160.8237502677182,0,"[0, 160.8237502677182, 0]",0,0.0,0.0,0.0,-100.8237502677182,0,0.0,0.0,0.0
1,|,52.14738965595003,[0],52.14738965595002,52.14738965595002,152.9711399236682,152.9711399236682,0.0,0.0,"[0, 152.9711399236682, 0]","[0, 152.9711399236682, 0]",0.0,0.0,0.0,0.0,0.0,-92.97113992366822,0.0,0.0,0.0,0.0,|,52.14738965595002,[0],52.14738965595002,52.14738965595001,160.8237502677182,"[0, 52.14738965595002, 0]",0.0,152.9711399236682,52.14738965595001,0.3408969148165548,7.852610344049978,0.0,0,0.0,0.0,|,52.14738965595002,[0],52.14738965595002,52.14738965595001,160.8237502677182,"[0, 52.14738965595002, 0]",0.0,152.9711399236682,52.14738965595001,0.3408969148165548,7.852610344049978,0.0,0,0.0,0.0
2,|,79.19040905256301,[0],79.19040905256303,79.19040905256303,79.19040905256304,79.19040905256304,152.9711399236682,152.9711399236682,"[0, 60.0, 0]","[0, 60.0, 0]",0.0,0.0,152.9711399236682,59.999999999999986,0.34850987550236107,-19.190409052563027,0.0,0.0,0.0,0.0,|,79.19040905256303,[0],79.19040905256304,79.19040905256303,52.14738965595002,"[0, 79.19040905256304, 0]",0.0,60.0,59.999999999999986,0.4830575525985643,-19.190409052563027,0,0.0,0.0,0.0,|,79.19040905256303,[0],79.19040905256304,79.19040905256303,52.14738965595002,"[0, 79.19040905256304, 0]",0.0,60.0,59.999999999999986,0.4830575525985643,-19.190409052563027,0,0.0,0.0,0.0
3,|,61.856016617309315,[0],61.8560166173093,61.8560166173093,81.04642566987235,81.04642566987235,60.0,60.0,"[0, 79.19040905256304, 0]","[0, 79.19040905256304, 0]",0.0,0.0,60.0,40.80959094743697,0.4307778806764049,-21.04642566987234,0.0,0.0,0.0,0.0,|,61.8560166173093,[0],61.8560166173093,61.85601661730928,79.19040905256304,"[0, 61.8560166173093, 0]",0.0,79.19040905256304,60.0,0.5855003571246902,-1.8560166173092867,0,0.0,0.0,0.0,|,61.8560166173093,[0],61.8560166173093,61.85601661730928,79.19040905256304,"[0, 61.8560166173093, 0]",0.0,79.19040905256304,60.0,0.5855003571246902,-1.8560166173092867,0,0.0,0.0,0.0
4,|,36.70110441802269,[0],36.70110441802268,36.70110441802268,38.55712103533199,38.55712103533199,79.19040905256304,79.19040905256304,"[0, 38.55712103533198, 0]","[0, 38.55712103533198, 0]",0.0,0.0,57.74753008789503,36.70110441802269,0.5079468488803751,21.44287896466801,0.0,0,0.0,0.0,|,36.70110441802268,[0],36.70110441802269,36.70110441802266,61.8560166173093,"[0, 36.70110441802269, 0]",0.0,38.55712103533198,36.70110441802268,0.6314989536776696,23.298895581977334,0.0,0,0.0,0.0,|,36.70110441802268,[0],36.70110441802269,36.70110441802266,61.8560166173093,"[0, 36.70110441802269, 0]",0.0,38.55712103533198,36.70110441802268,0.6314989536776696,23.298895581977334,0.0,0,0.0,0.0
5,|,51.531370827288605,[0],51.531370827288605,51.531370827288605,51.53137082728862,51.53137082728862,38.55712103533198,38.55712103533198,"[0, 51.531370827288605, 0]","[0, 51.531370827288605, 0]",0.0,0.0,51.531370827288605,51.531370827288605,0.5866316283487544,8.468629172711388,0.0,0,0.0,0.0,|,51.531370827288605,[0],51.53137082728861,51.531370827288576,36.70110441802269,"[0, 51.53137082728861, 0]",0.0,51.531370827288605,51.531370827288605,0.6811768138202284,8.468629172711417,0.0,0,0.0,0.0,|,51.531370827288605,[0],51.53137082728861,51.531370827288576,36.70110441802269,"[0, 51.53137082728861, 0]",0.0,51.531370827288605,51.531370827288605,0.6811768138202284,8.468629172711417,0.0,0,0.0,0.0
6,|,58.87915052599163,[0],58.879150525991626,58.879150525991626,58.87915052599164,58.87915052599164,51.531370827288605,51.531370827288605,"[0, 58.879150525991626, 0]","[0, 58.879150525991626, 0]",0.0,0.0,58.87915052599163,58.87915052599163,0.650491283102512,1.1208494740083594,0.0,0,0.0,0.0,|,58.879150525991626,[0],58.87915052599163,58.879150525991605,51.53137082728861,"[0, 58.87915052599163, 0]",0.0,58.879150525991626,58.879150525991626,0.7237313278667252,1.120849474008402,0.0,0,0.0,0.0,|,58.879150525991626,[0],58.87915052599163,58.879150525991605,51.53137082728861,"[0, 58.87915052599163, 0]",0.0,58.879150525991626,58.879150525991626,0.7237313278667252,1.120849474008402,0.0,0,0.0,0.0
7,|,42.701230287404115,[0],42.701230287404115,42.701230287404115,42.70123028740412,42.70123028740412,58.879150525991626,58.879150525991626,"[0, 42.701230287404115, 0]","[0, 42.701230287404115, 0]",0.0,0.0,42.701230287404115,42.701230287404115,0.6857045463447158,17.29876971259587,0.0,0,0.0,0.0,|,42.701230287404115,[0],42.70123028740411,42.70123028740409,58.87915052599163,"[0, 42.70123028740411, 0]",0.0,42.701230287404115,42.701230287404115,0.7481138628666378,17.29876971259592,0.0,0,0.0,0.0,|,42.701230287404115,[0],42.70123028740411,42.70123028740409,58.87915052599163,"[0, 42.70123028740411, 0]",0.0,42.701230287404115,42.701230287404115,0.7481138628666378,17.29876971259592,0.0,0,0.0,0.0
8,|,45.69994231812477,[0],45.699942318124776,45.699942318124776,45.69994231812478,45.69994231812478,42.701230287404115,42.701230287404115,"[0, 45.699942318124776, 0]","[0, 45.699942318124776, 0]",0.0,0.0,45.69994231812477,45.69994231812477,0.7162952923434169,14.300057681875217,0.0,0,0.0,0.0,|,45.699942318124776,[0],45.69994231812477,45.69994231812475,42.70123028740411,"[0, 45.69994231812477, 0]",0.0,45.699942318124776,45.699942318124776,0.7698523366557896,14.300057681875252,0.0,0,0.0,0.0,|,45.699942318124776,[0],45.69994231812477,45.69994231812475,42.70123028740411,"[0, 45.69994231812477, 0]",0.0,45.699942318124776,45.699942318124776,0.7698523366557896,14.300057681875252,0.0,0,0.0,0.0
9,|,51.1689578086242,[0],51.1689578086242,51.1689578086242,51.16895780862421,51.16895780862421,45.699942318124776,45.699942318124776,"[0, 51.1689578086242, 0]","[0, 51.1689578086242, 0]",0.0,0.0,51.1689578086242,51.1689578086242,0.7441748643132634,8.831042191375793,0.0,0,0.0,0.0,|,51.1689578086242,[0],51.1689578086242,51.16895780862417,45.69994231812477,"[0, 51.1689578086242, 0]",0.0,51.1689578086242,51.1689578086242,0.7901320505003586,8.831042191375822,0.0,0,0.0,0.0,|,51.1689578086242,[0],51.1689578086242,51.16895780862417,45.69994231812477,"[0, 51.1689578086242, 0]",0.0,51.1689578086242,51.1689578086242,0.7901320505003586,8.831042191375822,0.0,0,0.0,0.0
