periods,3_inv,2_inv,1_inv,0_inv,3_make_order,2_make_order,1_make_order,0_make_order,3_ship_inv,2_ship_inv,1_ship_inv,0_ship_inv,3_backorder,2_backorder,1_backorder,0_backorder,3_inv_in_transit,2_inv_in_transit,1_inv_in_transit,0_inv_in_transit,demand
0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,20,"{'Supplier 3': [0, 0, 90]}","{'Supplier 2': [0, 0]}",{'Supplier 1': [0]},"{1: [0], 2: [0], 3: [0]}",20
1,0,0,0,0,20,90,0,0,0,0,0,0,0,0,0,44,"{'Supplier 3': [0, 90, 20]}","{'Supplier 2': [0, 90]}",{'Supplier 1': [0]},"{1: [0], 2: [0], 3: [0]}",24
2,0,0,0,0,24,20,90,0,0,0,0,0,0,0,0,69,"{'Supplier 3': [90, 20, 24]}","{'Supplier 2': [90, 20]}",{'Supplier 1': [90]},"{1: [0], 2: [0], 3: [0]}",25
3,0,0,0,0,25,24,20,90,90,90,90,0,0,0,0,88,"{'Supplier 3': [20, 24, 25]}","{'Supplier 2': [20, 24]}",{'Supplier 1': [20]},"{1: [90], 2: [90], 3: [90]}",19
4,0,0,0,0,19,24,24,20,20,20,20,90,0,0,0,23,"{'Supplier 3': [24, 25, 19]}","{'Supplier 2': [24, 24]}",{'Supplier 1': [24]},"{1: [20], 2: [20], 3: [20]}",25
5,0,0,0,0,25,20,24,24,24,24,24,20,0,0,0,19,"{'Supplier 3': [25, 19, 25]}","{'Supplier 2': [24, 20]}",{'Supplier 1': [24]},"{1: [24], 2: [24], 3: [24]}",16
6,1,0,0,0,16,21,20,24,24,24,24,24,0,0,0,22,"{'Supplier 3': [19, 25, 16]}","{'Supplier 2': [20, 21]}",{'Supplier 1': [20]},"{1: [24], 2: [24], 3: [24]}",27
7,0,0,0,0,27,20,21,20,20,20,20,24,0,0,0,18,"{'Supplier 3': [25, 16, 27]}","{'Supplier 2': [21, 20]}",{'Supplier 1': [21]},"{1: [20], 2: [20], 3: [20]}",20
8,4,0,0,0,20,27,20,21,21,21,21,20,0,0,0,13,"{'Supplier 3': [16, 27, 20]}","{'Supplier 2': [20, 27]}",{'Supplier 1': [20]},"{1: [21], 2: [21], 3: [21]}",15
9,0,0,0,0,15,15,22,20,20,20,20,21,0,0,0,12,"{'Supplier 3': [27, 20, 15]}","{'Supplier 2': [27, 15]}",{'Supplier 1': [22]},"{1: [20], 2: [20], 3: [20]}",20
10,5,5,0,0,20,20,20,22,22,22,22,20,0,0,0,11,"{'Supplier 3': [20, 15, 20]}","{'Supplier 2': [15, 20]}",{'Supplier 1': [20]},"{1: [22], 2: [22], 3: [22]}",19
11,6,1,1,0,19,19,19,19,19,19,19,22,0,0,0,12,"{'Supplier 3': [15, 20, 19]}","{'Supplier 2': [20, 19]}",{'Supplier 1': [19]},"{1: [19], 2: [19], 3: [19]}",23
12,1,1,0,0,23,20,20,20,20,20,20,19,0,0,0,9,"{'Supplier 3': [20, 19, 23]}","{'Supplier 2': [19, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",16
13,2,1,1,0,16,19,19,19,19,19,19,20,0,0,0,13,"{'Supplier 3': [19, 23, 16]}","{'Supplier 2': [20, 19]}",{'Supplier 1': [19]},"{1: [19], 2: [19], 3: [19]}",24
14,1,1,0,0,24,20,20,20,20,20,20,19,0,0,0,15,"{'Supplier 3': [23, 16, 24]}","{'Supplier 2': [19, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",21
15,4,0,0,0,21,24,20,20,20,20,20,20,0,0,0,16,"{'Supplier 3': [16, 24, 21]}","{'Supplier 2': [20, 24]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",21
16,0,0,0,0,21,21,24,20,20,20,20,20,0,0,0,11,"{'Supplier 3': [24, 21, 21]}","{'Supplier 2': [24, 21]}",{'Supplier 1': [24]},"{1: [20], 2: [20], 3: [20]}",15
17,3,3,3,0,15,16,17,21,21,21,21,20,0,0,0,0,"{'Supplier 3': [21, 21, 15]}","{'Supplier 2': [21, 16]}",{'Supplier 1': [17]},"{1: [21], 2: [21], 3: [21]}",9
18,15,15,11,0,9,9,9,9,9,9,9,21,0,0,0,1,"{'Supplier 3': [21, 15, 9]}","{'Supplier 2': [16, 9]}",{'Supplier 1': [9]},"{1: [9], 2: [9], 3: [9]}",22
19,16,11,0,0,22,20,20,20,20,20,20,9,0,0,0,7,"{'Supplier 3': [15, 9, 22]}","{'Supplier 2': [9, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",15
20,14,3,3,0,15,17,17,17,17,17,17,20,0,0,0,5,"{'Supplier 3': [9, 22, 15]}","{'Supplier 2': [20, 17]}",{'Supplier 1': [17]},"{1: [17], 2: [17], 3: [17]}",18
21,5,5,2,0,18,18,18,18,18,18,18,17,0,0,0,8,"{'Supplier 3': [22, 15, 18]}","{'Supplier 2': [17, 18]}",{'Supplier 1': [18]},"{1: [18], 2: [18], 3: [18]}",20
22,7,2,0,0,20,20,20,20,20,20,20,18,0,0,0,1,"{'Supplier 3': [15, 18, 20]}","{'Supplier 2': [18, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",11
23,11,9,9,0,11,11,11,11,11,11,11,20,0,0,0,5,"{'Supplier 3': [18, 20, 11]}","{'Supplier 2': [20, 11]}",{'Supplier 1': [11]},"{1: [11], 2: [11], 3: [11]}",24
24,9,9,0,0,24,20,20,20,20,20,20,11,0,0,0,11,"{'Supplier 3': [20, 11, 24]}","{'Supplier 2': [11, 20]}",{'Supplier 1': [20]},"{1: [20], 2: [20], 3: [20]}",17
