t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,3.0,[0],3.0,3.0,0,"[0, 3.0, 0]",0,3.0,3.0,1.0,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,0,"[0, 3.0, 0]",0,3.0,3.0,1.0,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,0,"[0, 3.0, 0]",0,3.0,3.0,1.0,4.0,4.0,0,0.0,4.0
1,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,1.0,2.0,2.0,0,0.0,2.0
2,|,12.0,[0],12.0,12.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.75,-5.0,0.0,500.0,0.0,500.0,|,12.0,[0],12.0,12.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.75,-5.0,0.0,0.0,0.0,0.0,|,12.0,[0],12.0,12.0,5.0,"[0, 12.0, 0]",0.0,7.0,7.0,0.75,-5.0,0,0.0,0.0,0.0
3,|,8.0,[0],8.0,13.0,7.0,"[0, 7.0, 0]",0.0,7.0,2.0,0.6071428571428571,-6.0,0.0,600.0,0.0,600.0,|,8.0,[0],8.0,13.0,7.0,"[0, 12.0, 0]",0.0,7.0,2.0,0.6071428571428571,-6.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,12.0,"[0, 8.0, 0]",0.0,12.0,7.0,0.7857142857142857,-1.0,0,0.0,0.0,0.0
4,|,2.0,[0],2.0,8.0,7.0,"[0, 8.0, 0]",0.0,7.0,1.0,0.6,-1.0,0.0,100.0,0.0,100.0,|,2.0,[0],2.0,3.0,12.0,"[0, 3.0, 0]",0.0,8.0,2.0,0.6333333333333333,4.0,20.0,0,0.0,20.0,|,2.0,[0],2.0,2.0,8.0,"[0, 2.0, 0]",0.0,3.0,2.0,0.8,5.0,5.0,0,0.0,5.0
5,|,5.0,[0],5.0,5.0,8.0,"[0, 5.0, 0]",0.0,6.0,5.0,0.6571428571428571,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.6857142857142857,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,2.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8285714285714286,2.0,2.0,0,0.0,2.0
6,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.7142857142857143,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.7380952380952381,0.0,0.0,0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,7.0,7.0,0.8571428571428571,0.0,0,0,0.0,0.0
7,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.7333333333333333,4.0,40.0,0,0.0,40.0,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.7555555555555555,4.0,20.0,0,0.0,20.0,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,3.0,3.0,0.8666666666666667,4.0,4.0,0,0.0,4.0
8,|,4.0,[0],4.0,4.0,3.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.7551020408163265,3.0,30.0,0,0.0,30.0,|,4.0,[0],4.0,4.0,3.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.7755102040816326,3.0,15.0,0,0.0,15.0,|,4.0,[0],4.0,4.0,3.0,"[0, 4.0, 0]",0.0,4.0,4.0,0.8775510204081632,3.0,3.0,0,0.0,3.0
9,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.7777777777777778,2.0,20.0,0,0.0,20.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.7962962962962963,2.0,10.0,0,0.0,10.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,5.0,5.0,0.8888888888888888,2.0,2.0,0,0.0,2.0
