t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
Avg,|,7.186566685413042,53.19783631402456,51.30610814737397,51.30610814737396,51.30610814737396,51.30610814737397,49.16449779328896,0.9438234144079252,6.802163685975432,2.1416103540850133,89.43774040060444,214.16103540850133,0.0,303.59877580910575,|,7.787053856728772,52.579334527569365,51.30610814737396,51.30610814737396,51.30610814737397,51.30610814737396,49.41437998072339,0.948928222996375,7.420665472430635,1.8917281666505885,93.12393639081222,37.83456333301177,513.0610814737397,644.0195811975636,|,9.023195973423324,51.30610814737397,51.30610814737397,51.30610814737397,51.30610814737396,51.30610814737396,50.03288176717855,0.9675711689302403,8.693891852626022,1.2732263801954247,99.67118232821447,0.0,513.0610814737397,612.7322638019542
""
0,|,60.0,0.0,0.0,40.82375026771819,40.82375026771819,40.82375026771819,40.82375026771819,1.0,19.17624973228181,0.0,191.7624973228181,0.0,0.0,191.7624973228181,|,60.0,0.0,0.0,40.82375026771819,40.82375026771819,40.82375026771819,40.82375026771819,1.0,19.17624973228181,0.0,191.7624973228181,0.0,408.2375026771819,600.0,|,60.0,0.0,0.0,40.82375026771819,40.82375026771819,40.82375026771819,40.82375026771819,1.0,19.17624973228181,0.0,191.7624973228181,0.0,408.2375026771819,600.0
1,|,19.17624973228181,40.82375026771819,40.82375026771819,52.14738965595003,52.14738965595003,52.14738965595003,52.14738965595003,1.0,7.852610344049971,0.0,78.52610344049971,0.0,0.0,78.52610344049971,|,19.17624973228181,40.82375026771819,40.82375026771819,52.14738965595003,52.14738965595003,52.14738965595003,52.14738965595003,1.0,7.852610344049971,0.0,78.52610344049971,0.0,521.4738965595003,600.0,|,19.17624973228181,40.82375026771819,40.82375026771819,52.14738965595003,52.14738965595003,52.14738965595003,52.14738965595003,1.0,7.852610344049971,0.0,78.52610344049971,0.0,521.4738965595003,600.0
2,|,7.852610344049971,52.14738965595003,52.14738965595003,79.19040905256301,79.19040905256301,60.0,60.0,0.8885325488375312,-19.190409052563012,19.190409052563012,0.0,1919.0409052563014,0.0,1919.0409052563014,|,7.852610344049971,52.14738965595003,52.14738965595003,79.19040905256301,79.19040905256301,60.0,60.0,0.8885325488375312,-19.190409052563012,19.190409052563012,0.0,383.80818105126025,600.0,983.8081810512602,|,7.852610344049971,52.14738965595003,52.14738965595003,79.19040905256301,79.19040905256301,60.0,60.0,0.8885325488375312,-19.190409052563012,19.190409052563012,0.0,0.0,600.0,600.0
3,|,-19.190409052563012,79.19040905256301,60.0,61.856016617309315,61.856016617309315,60.0,40.80959094743699,0.8280606217726333,-21.046425669872328,21.046425669872328,0.0,2104.642566987233,0.0,2104.642566987233,|,-19.190409052563012,79.19040905256301,60.0,61.856016617309315,61.856016617309315,60.0,40.80959094743699,0.8280606217726333,-21.046425669872328,21.046425669872328,0.0,420.9285133974465,600.0,1020.9285133974465,|,-19.190409052563012,79.19040905256301,79.19040905256301,61.856016617309315,61.856016617309315,79.19040905256301,60.0,0.9100647610939284,-1.856016617309315,1.856016617309315,0.0,0.0,791.9040905256302,791.9040905256302
4,|,-21.046425669872328,81.04642566987232,60.0,36.70110441802269,36.701104418022695,57.747530087895015,36.70110441802269,0.8513702999474816,2.252469912104985,0.0,22.52469912104985,0.0,0.0,22.52469912104985,|,-21.046425669872328,81.04642566987232,79.19040905256301,36.701104418022695,36.7011044180227,57.74753008789502,36.701104418022695,0.8513702999474817,21.44287896466799,0.0,214.4287896466799,0.0,577.4753008789502,791.9040905256301,|,-1.856016617309315,61.85601661730931,61.856016617309315,36.7011044180227,36.70110441802271,38.55712103533202,36.7011044180227,0.9222572064609605,23.2988955819773,0.0,232.98895581977297,0.0,385.57121035332017,618.5601661730932
5,|,2.252469912104985,57.747530087895015,57.74753008789502,51.531370827288605,51.531370827288605,51.531370827288605,51.531370827288605,0.8751378444586244,8.468629172711402,0.0,84.68629172711402,0.0,0.0,84.68629172711402,|,21.44287896466799,38.55712103533202,38.55712103533202,51.531370827288605,51.5313708272886,51.531370827288605,51.531370827288605,0.8751378444586244,8.468629172711402,0.0,84.68629172711402,0.0,515.3137082728861,600.0000000000001,|,23.2988955819773,36.7011044180227,36.70110441802271,51.5313708272886,51.5313708272886,51.5313708272886,51.5313708272886,0.934689145065471,8.46862917271141,0.0,84.6862917271141,0.0,515.313708272886,600.0
6,|,8.468629172711402,51.53137082728859,51.531370827288605,58.87915052599163,58.87915052599164,58.87915052599163,58.87915052599163,0.8944273080255408,1.1208494740083736,0.0,11.208494740083736,0.0,0.0,11.208494740083736,|,8.468629172711402,51.5313708272886,51.5313708272886,58.87915052599164,58.87915052599164,58.87915052599164,58.87915052599164,0.8944273080255408,1.1208494740083594,0.0,11.208494740083594,0.0,588.7915052599164,600.0,|,8.46862917271141,51.53137082728858,51.5313708272886,58.87915052599164,58.87915052599165,58.87915052599164,58.87915052599164,0.944778762302347,1.1208494740083665,0.0,11.208494740083665,0.0,588.7915052599164,600.0000000000001
7,|,1.1208494740083736,58.879150525991626,58.87915052599164,42.701230287404115,42.701230287404115,42.701230287404115,42.701230287404115,0.9050638352820987,17.2987697125959,0.0,172.987697125959,0.0,0.0,172.987697125959,|,1.1208494740083594,58.87915052599165,58.87915052599164,42.701230287404115,42.70123028740411,42.701230287404115,42.701230287404115,0.9050638352820987,17.298769712595885,0.0,172.98769712595885,0.0,427.01230287404115,600.0,|,1.1208494740083665,58.87915052599163,58.87915052599165,42.70123028740411,42.70123028740411,42.70123028740411,42.70123028740411,0.9503423430818732,17.298769712595906,0.0,172.98769712595907,0.0,427.0123028740411,600.0000000000002
8,|,17.2987697125959,42.70123028740411,42.701230287404115,45.69994231812477,45.69994231812476,45.69994231812477,45.69994231812477,0.9143040838036743,14.300057681875245,0.0,143.00057681875245,0.0,0.0,143.00057681875245,|,17.298769712595885,42.70123028740411,42.70123028740411,45.69994231812476,45.69994231812477,45.69994231812476,45.69994231812476,0.9143040838036743,14.30005768187523,0.0,143.0005768187523,0.0,456.9994231812476,599.9999999999999,|,17.298769712595906,42.7012302874041,42.70123028740411,45.69994231812477,45.69994231812476,45.69994231812477,45.69994231812477,0.95517558120863,14.300057681875245,0.0,143.00057681875245,0.0,456.9994231812477,600.0000000000002
