t,|i=2,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:2,IOPL:2,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:2,DMFS,FR,IL,HC,SC,ITHC,TC,|i=0,IO:1,IOPL:1,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,3.0,[0],3.0,3.0,0,"[0, 3, 0]",0,3,3.0,1.0,0.0,0,0,0.0,0.0,|,3.0,[0],3.0,3.0,0,"[0, 3, 0]",0,3,3.0,1.0,0.0,0,0,0,0,|,3.0,[0],3.0,3.0,0,"[0, 3.0, 0]",0,3,3.0,1.0,0.0,0,0,0,0
1,|,5.0,[0],5.0,5.0,3,"[0, 3.0, 0]",0,3.0,3.0,0.75,-2.0,0,200.0,0.0,200.0,|,5.0,[0],5.0,5.0,3,"[0, 3.0, 0]",0,3.0,3.0,0.75,-2.0,0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,3.0,"[0, 5.0, 0]",0.0,3.0,3.0,0.75,-2.0,0,0.0,0.0,0.0
2,|,12.0,[0],12.0,14.0,3.0,"[0, 3.0, 0]",0.0,3.0,1.0,0.35,-11.0,0.0,1100.0,0.0,1100.0,|,12.0,[0],12.0,14.0,3.0,"[0, 5.0, 0]",0.0,3.0,1.0,0.35,-11.0,0.0,0.0,0.0,0.0,|,12.0,[0],12.0,12.0,5.0,"[0, 12.0, 0]",0.0,5.0,3.0,0.45,-9.0,0,0.0,0.0,0.0
3,|,8.0,[0],8.0,19.0,3.0,"[0, 5.0, 0]",0.0,3.0,0.0,0.25,-16.0,0.0,1600.0,0.0,1600.0,|,8.0,[0],8.0,17.0,5.0,"[0, 12.0, 0]",0.0,5.0,0.0,0.25,-14.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,12.0,"[0, 8.0, 0]",0.0,12.0,3.0,0.42857142857142855,-5.0,0,0.0,0.0,0.0
4,|,2.0,[0],2.0,16.0,5.0,"[0, 12.0, 0]",0.0,5.0,0.0,0.23333333333333334,-13.0,0.0,1300.0,0.0,1300.0,|,2.0,[0],2.0,7.0,12.0,"[0, 7.0, 0]",0.0,12.0,0.0,0.23333333333333334,-4.0,0.0,0.0,0.0,0.0,|,2.0,[0],2.0,2.0,8.0,"[0, 2.0, 0]",0.0,7.0,2.0,0.4666666666666667,1.0,1.0,0,0.0,1.0
5,|,5.0,[0],5.0,9.0,12.0,"[0, 7.0, 0]",0.0,12.0,0.0,0.2,-6.0,0.0,600.0,0.0,600.0,|,5.0,[0],5.0,5.0,7.0,"[0, 3.0, 0]",0.0,7.0,3.0,0.2857142857142857,-2.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,2.0,"[0, 5.0, 0]",0.0,3.0,3.0,0.4857142857142857,-2.0,0,0.0,0.0,0.0
6,|,7.0,[0],7.0,9.0,7.0,"[0, 3.0, 0]",0.0,7.0,1.0,0.19047619047619047,-6.0,0.0,600.0,0.0,600.0,|,7.0,[0],7.0,9.0,3.0,"[0, 5.0, 0]",0.0,3.0,1.0,0.2619047619047619,-6.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,5.0,"[0, 7.0, 0]",0.0,5.0,3.0,0.47619047619047616,-4.0,0,0.0,0.0,0.0
7,|,3.0,[0],3.0,9.0,3.0,"[0, 5.0, 0]",0.0,3.0,0.0,0.17777777777777778,-6.0,0.0,600.0,0.0,600.0,|,3.0,[0],3.0,7.0,5.0,"[0, 7.0, 0]",0.0,5.0,0.0,0.24444444444444444,-4.0,0.0,0.0,0.0,0.0,|,3.0,[0],3.0,3.0,7.0,"[0, 3.0, 0]",0.0,7.0,3.0,0.5111111111111111,0.0,0,0,0.0,0.0
8,|,4.0,[0],4.0,8.0,5.0,"[0, 7.0, 0]",0.0,5.0,0.0,0.16326530612244897,-5.0,0.0,500.0,0.0,500.0,|,4.0,[0],4.0,4.0,7.0,"[0, 3.0, 0]",0.0,7.0,3.0,0.2857142857142857,-1.0,0.0,0.0,0.0,0.0,|,4.0,[0],4.0,4.0,3.0,"[0, 4.0, 0]",0.0,3.0,3.0,0.5306122448979592,-1.0,0,0.0,0.0,0.0
9,|,5.0,[0],5.0,6.0,7.0,"[0, 3.0, 0]",0.0,7.0,2.0,0.18518518518518517,-3.0,0.0,300.0,0.0,300.0,|,5.0,[0],5.0,6.0,3.0,"[0, 4.0, 0]",0.0,3.0,2.0,0.2962962962962963,-3.0,0.0,0.0,0.0,0.0,|,5.0,[0],5.0,5.0,4.0,"[0, 5.0, 0]",0.0,4.0,3.0,0.5370370370370371,-2.0,0,0.0,0.0,0.0
10,|,4.0,[0],4.0,7.0,3.0,"[0, 4.0, 0]",0.0,3.0,0.0,0.1724137931034483,-4.0,0.0,400.0,0.0,400.0,|,4.0,[0],4.0,6.0,4.0,"[0, 5.0, 0]",0.0,4.0,1.0,0.29310344827586204,-3.0,0.0,0.0,0.0,0.0,|,4.0,[0],4.0,4.0,5.0,"[0, 4.0, 0]",0.0,5.0,3.0,0.5517241379310345,-1.0,0,0.0,0.0,0.0
11,|,8.0,[0],8.0,11.0,4.0,"[0, 5.0, 0]",0.0,4.0,0.0,0.15151515151515152,-8.0,0.0,800.0,0.0,800.0,|,8.0,[0],8.0,9.0,5.0,"[0, 4.0, 0]",0.0,5.0,2.0,0.2878787878787879,-6.0,0.0,0.0,0.0,0.0,|,8.0,[0],8.0,8.0,4.0,"[0, 8.0, 0]",0.0,4.0,3.0,0.5303030303030303,-5.0,0,0.0,0.0,0.0
12,|,7.0,[0],7.0,13.0,5.0,"[0, 4.0, 0]",0.0,5.0,0.0,0.136986301369863,-10.0,0.0,1000.0,0.0,1000.0,|,7.0,[0],7.0,12.0,4.0,"[0, 8.0, 0]",0.0,4.0,0.0,0.2602739726027397,-9.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,8.0,"[0, 7.0, 0]",0.0,8.0,3.0,0.5205479452054794,-4.0,0,0.0,0.0,0.0
13,|,7.0,[0],7.0,16.0,4.0,"[0, 8.0, 0]",0.0,4.0,0.0,0.125,-13.0,0.0,1300.0,0.0,1300.0,|,7.0,[0],7.0,11.0,8.0,"[0, 7.0, 0]",0.0,8.0,0.0,0.2375,-8.0,0.0,0.0,0.0,0.0,|,7.0,[0],7.0,7.0,7.0,"[0, 7.0, 0]",0.0,7.0,3.0,0.5125,-4.0,0,0.0,0.0,0.0
