t,|i=0,IO:EXT,IOPL:EXT,OQ:1,OQ:2,OO:1,OO:2,IS:1,IS:2,ISPL:1,ISPL:2,RM:1,RM:2,OS:EXT,DMFS,FR,IL,HC,SC,ITHC,TC,|i=1,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC,|i=2,IO:0,IOPL:0,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:0,DMFS,FR,IL,HC,SC,ITHC,TC
0,|,40.82375026771819,[0],40.82375026771819,40.82375026771819,40.82375026771819,40.82375026771819,0,0,"[0, 40.82375026771819, 0]","[0, 40.82375026771819, 0]",0,0,40.82375026771819,40.82375026771819,1.0,19.17624973228181,191.7624973228181,0,0.0,191.7624973228181,|,40.82375026771819,[0],40.82375026771819,40.82375026771819,0,"[0, 40.82375026771819, 0]",0,40.82375026771819,40.82375026771819,1.0,9.17624973228181,91.7624973228181,0,408.2375026771819,500.0,|,40.82375026771819,[0],40.82375026771819,40.82375026771819,0,"[0, 40.82375026771819, 0]",0,40.82375026771819,40.82375026771819,1.0,19.17624973228181,191.7624973228181,0,408.2375026771819,600.0
1,|,52.14738965595003,[0],52.14738965595003,52.14738965595003,52.14738965595003,52.14738965595003,40.82375026771819,40.82375026771819,"[0, 50.0, 0]","[0, 52.14738965595003, 0]",0.0,0.0,52.14738965595003,52.14738965595003,1.0,7.852610344049971,78.52610344049971,0,0.0,78.52610344049971,|,52.14738965595003,[0],52.14738965595003,52.14738965595003,40.82375026771819,"[0, 52.14738965595003, 0]",0.0,50.0,50.0,0.97690262098848,-2.147389655950029,0,21.47389655950029,500.0,521.4738965595003,|,52.14738965595003,[0],52.14738965595003,52.14738965595003,40.82375026771819,"[0, 52.14738965595003, 0]",0.0,52.14738965595003,52.14738965595003,1.0,7.852610344049971,78.52610344049971,0,521.4738965595003,600.0
2,|,79.19040905256301,[0],79.19040905256301,79.19040905256301,81.33779870851305,79.19040905256301,50.0,52.14738965595003,"[0, 52.14738965595003, 0]","[0, 60.0, 0]",0.0,2.147389655950029,57.85261034404997,57.85261034404997,0.8760594404766946,-21.33779870851304,21.47389655950029,213.37798708513043,0.0,234.85188364463073,|,79.19040905256301,[0],79.19040905256301,79.19040905256301,52.14738965595003,"[0, 79.19040905256301, 0]",0.0,52.14738965595003,50.0,0.817974461226301,-29.190409052563012,0,291.9040905256301,521.4738965595003,813.3779870851304,|,79.19040905256301,[0],79.19040905256301,79.19040905256301,52.14738965595003,"[0, 79.19040905256301, 0]",0.0,60.0,60.0,0.8885325488375312,-19.190409052563012,0,191.90409052563012,600.0,791.9040905256302
3,|,61.856016617309315,[0],61.85601661730931,61.856016617309315,91.04642566987232,81.04642566987232,52.14738965595003,60.0,"[0, 79.19040905256301, 0]","[0, 79.19040905256301, 0]",0.0,10.0,52.14738965595003,30.809590947436988,0.7761525967269899,-31.046425669872328,100.0,310.46425669872326,0.0,410.46425669872326,|,61.85601661730931,[0],61.85601661730931,61.85601661730931,79.19040905256301,"[0, 61.85601661730931, 0]",0.0,79.19040905256301,50.0,0.8154249010484766,-11.856016617309308,0,118.56016617309308,791.9040905256302,910.4642566987233,|,61.856016617309315,[0],61.856016617309315,61.85601661730931,79.19040905256301,"[0, 61.856016617309315, 0]",0.0,79.19040905256301,60.0,0.9100647610939284,-1.856016617309315,0,18.56016617309315,791.9040905256302,810.4642566987234
4,|,36.70110441802269,[0],36.701104418022695,36.701104418022695,48.557121035332,38.557121035332,79.19040905256301,79.19040905256301,"[0, 48.557121035332, 0]","[0, 38.55712103533201, 0]",0.0,10.0,67.74753008789502,36.70110441802269,0.80649940258591,11.442878964667997,214.42878964667997,0,0.0,214.42878964667997,|,36.701104418022695,[0],36.701104418022695,36.701104418022695,61.85601661730931,"[0, 36.701104418022695, 0]",0.0,48.557121035332,36.701104418022695,0.8404475933485585,13.298895581977305,132.98895581977305,0,485.57121035332,618.5601661730931,|,36.701104418022695,[0],36.7011044180227,36.7011044180227,61.856016617309315,"[0, 36.7011044180227, 0]",0.0,38.55712103533201,36.701104418022695,0.9222572064609604,23.298895581977305,232.98895581977305,0,385.5712103533201,618.5601661730932
5,|,51.531370827288605,[0],51.531370827288605,51.531370827288605,51.5313708272886,51.53137082728859,48.557121035332,38.55712103533201,"[0, 50.0, 0]","[0, 51.531370827288605, 0]",0.0,7.105427357601002e-15,51.531370827288605,51.531370827288605,0.8374423033678335,8.468629172711395,84.68629172711402,0,0.0,84.68629172711402,|,51.531370827288605,[0],51.531370827288605,51.5313708272886,36.701104418022695,"[0, 51.531370827288605, 0]",0.0,50.0,50.0,0.8612096804187008,-1.5313708272886046,0,15.313708272886046,500.0,515.3137082728861,|,51.531370827288605,[0],51.5313708272886,51.53137082728859,36.7011044180227,"[0, 51.5313708272886, 0]",0.0,51.531370827288605,51.531370827288605,0.9346891450654708,8.468629172711402,84.68629172711402,0,515.3137082728861,600.0000000000001
6,|,58.87915052599163,[0],58.87915052599164,58.87915052599164,60.410521353280245,58.879150525991626,50.0,51.531370827288605,"[0, 51.531370827288605, 0]","[0, 58.87915052599164, 0]",0.0,1.5313708272886117,58.468629172711395,58.468629172711395,0.861478084261652,-0.4105213532802381,15.313708272886117,4.105213532802381,0.0,19.4189218056885,|,58.87915052599164,[0],58.87915052599165,58.87915052599164,51.531370827288605,"[0, 58.87915052599165, 0]",0.0,51.531370827288605,50.0,0.8593538939194275,-8.87915052599164,0,88.7915052599164,515.3137082728861,604.1052135328025,|,58.87915052599164,[0],58.87915052599165,58.87915052599165,51.5313708272886,"[0, 58.87915052599165, 0]",0.0,58.87915052599164,58.87915052599164,0.9447787623023469,1.1208494740083594,11.208494740083594,0,588.7915052599164,600.0
7,|,42.701230287404115,[0],42.70123028740411,42.701230287404115,51.580380813395756,42.70123028740411,51.531370827288605,58.87915052599164,"[0, 51.58038081339575, 0]","[0, 42.701230287404115, 0]",0.0,8.879150525991648,43.11175164068435,42.701230287404115,0.8754342703247866,8.419619186604251,172.987697125959,0,0.0,172.987697125959,|,42.70123028740411,[0],42.70123028740411,42.7012302874041,58.87915052599165,"[0, 42.70123028740411, 0]",0.0,51.58038081339575,42.70123028740411,0.8735240937398192,7.298769712595899,72.98769712595899,0,515.8038081339575,588.7915052599166,|,42.701230287404115,[0],42.70123028740411,42.7012302874041,58.87915052599165,"[0, 42.70123028740411, 0]",0.0,42.701230287404115,42.701230287404115,0.9503423430818733,17.29876971259589,172.9876971259589,0,427.01230287404115,600.0
8,|,45.69994231812477,[0],45.69994231812476,45.69994231812476,45.69994231812477,45.699942318124755,51.58038081339575,42.701230287404115,"[0, 45.69994231812476, 0]","[0, 45.69994231812476, 0]",0.0,1.4210854715202004e-14,45.69994231812477,45.69994231812477,0.8875583992369939,14.30005768187523,143.00057681875245,0,0.0,143.00057681875245,|,45.69994231812476,[0],45.69994231812476,45.69994231812476,42.70123028740411,"[0, 45.69994231812476, 0]",0.0,45.69994231812476,45.69994231812476,0.8858341423846977,4.300057681875245,43.00057681875245,0,456.9994231812476,500.00000000000006,|,45.69994231812476,[0],45.69994231812477,45.69994231812476,42.70123028740411,"[0, 45.69994231812477, 0]",0.0,45.69994231812476,45.69994231812476,0.9551755812086301,14.300057681875238,143.0005768187524,0,456.9994231812476,600.0
9,|,51.1689578086242,[0],51.1689578086242,51.1689578086242,51.16895780862421,51.16895780862419,45.69994231812476,45.69994231812476,"[0, 50.00000000000001, 0]","[0, 51.1689578086242, 0]",0.0,1.4210854715202004e-14,51.1689578086242,51.1689578086242,0.8986079998120806,8.831042191375793,88.31042191375808,0,0.0,88.31042191375808,|,51.1689578086242,[0],51.16895780862419,51.16895780862419,45.69994231812476,"[0, 51.16895780862419, 0]",0.0,50.00000000000001,50.00000000000001,0.89480820850584,-1.1689578086241923,0,11.689578086241923,500.00000000000006,511.68957808624197,|,51.1689578086242,[0],51.1689578086242,51.1689578086242,45.69994231812477,"[0, 51.1689578086242, 0]",0.0,51.1689578086242,51.1689578086242,0.9595804626786031,8.831042191375808,88.31042191375808,0,511.689578086242,600.0000000000001
