t,|i=0,DISR,IO:1,IO:2,IOPL:1,IOPL:2,OQ:EXT,OO:EXT,IS:EXT,ISPL:EXT,RM:EXT,OS:1,OS:2,DMFS,FR,IL,BO:1,BO:2,DI:1,DI:2,HC,SC,ITHC,REV,TC,|i=1,DISR,IO:3,IO:4,IOPL:3,IOPL:4,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:3,OS:4,DMFS,FR,IL,BO:3,BO:4,DI:3,DI:4,HC,SC,ITHC,REV,TC,|i=2,DISR,IO:5,IO:6,IOPL:5,IOPL:6,OQ:0,OO:0,IS:0,ISPL:0,RM:0,OS:5,OS:6,DMFS,FR,IL,BO:5,BO:6,DI:5,DI:6,HC,SC,ITHC,REV,TC,|i=3,DISR,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=4,DISR,IO:EXT,IOPL:EXT,OQ:1,OO:1,IS:1,ISPL:1,RM:1,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=5,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC,|i=6,DISR,IO:EXT,IOPL:EXT,OQ:2,OO:2,IS:2,ISPL:2,RM:2,OS:EXT,DMFS,FR,IL,BO:EXT,DI:EXT,HC,SC,ITHC,REV,TC
0,|,False,22.13971878721396,14.675474923641065,[0],[0],36.81519371085503,36.81519371085503,0,"[0, 36.81519371085503]",0,0.0,0.0,0.0,0.0,-36.81519371085503,22.13971878721396,14.675474923641065,0.0,0.0,0.0,736.3038742171005,0.0,0.0,736.3038742171005,|,False,9.831939829551205,12.307778957662755,[0],[0],22.13971878721396,22.13971878721396,0,"[0, 0.0]",0,0.0,0.0,0.0,0.0,-22.13971878721396,9.831939829551205,12.307778957662755,0.0,0.0,0.0,442.79437574427914,0.0,0.0,442.79437574427914,|,False,7.337714243581658,7.337760680059406,[0],[0],14.675474923641065,14.675474923641065,0,"[0, 0.0]",0,0.0,0.0,0.0,0.0,-14.675474923641065,7.337714243581658,7.337760680059406,0.0,0.0,0.0,293.5094984728213,0.0,0.0,293.5094984728213,|,False,9.831939829551205,[0],9.831939829551205,9.831939829551205,0,"[0, 0.0]",0,0.0,0.0,0.0,-9.831939829551205,9.831939829551205,0,0.0,196.6387965910241,0.0,0.0,196.6387965910241,|,False,12.307778957662755,[0],12.307778957662755,12.307778957662755,0,"[0, 0.0]",0,0.0,0.0,0.0,-12.307778957662755,12.307778957662755,0,0.0,246.1555791532551,0.0,0.0,246.1555791532551,|,False,7.337714243581658,[0],7.337714243581658,7.337714243581658,0,"[0, 0.0]",0,0.0,0.0,0.0,-7.337714243581658,7.337714243581658,0,0.0,146.75428487163316,0.0,0.0,146.75428487163316,|,False,7.337760680059406,[0],7.337760680059406,7.337760680059406,0,"[0, 0.0]",0,0.0,0.0,0.0,-7.337760680059406,7.337760680059406,0,0.0,146.75521360118813,0.0,0.0,146.75521360118813
1,|,False,0,16.206717456530036,[0],[0],16.206717456530036,16.206717456530036,36.81519371085503,"[0.0, 16.206717456530036]",0.0,22.13971878721396,14.675474923641069,3.552713678800501e-15,6.700463262414148e-17,-16.206717456530036,0.0,16.206717456530033,0.0,0.0,0.0,324.13434913060075,12.271731236951675,0.0,336.4060803675524,|,True,12.466688363127908,10.170633204408333,[0],[0],0,22.13971878721396,0.0,"[0.0, 22.13971878721396]",0.0,0.0,0.0,0.0,0.0,-44.7770403547502,22.29862819267911,22.478412162071088,0.0,0.0,0.0,895.540807095004,0.0,0.0,895.540807095004,|,False,6.672125912448021,9.534591544082017,[0],[0],16.206717456530036,30.8821923801711,0.0,"[0.0, 14.675474923641069]",0.0,0.0,0.0,0.0,0.0,-30.882192380171105,14.009840156029679,16.872352224141423,0.0,0.0,0.0,617.643847603422,0.0,0.0,617.643847603422,|,False,12.466688363127908,[0],12.466688363127908,22.29862819267911,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-22.29862819267911,22.29862819267911,0,0.0,445.9725638535822,0.0,0.0,445.9725638535822,|,False,10.170633204408333,[0],10.170633204408333,22.478412162071088,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-22.478412162071088,22.478412162071088,0,0.0,449.5682432414218,0.0,0.0,449.5682432414218,|,False,6.672125912448021,[0],6.672125912448021,14.009840156029679,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-14.009840156029679,14.009840156029679,0,0.0,280.1968031205936,0.0,0.0,280.1968031205936,|,False,9.534591544082017,[0],9.534591544082017,16.872352224141423,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-16.872352224141423,16.872352224141423,0,0.0,337.44704448282846,0.0,0.0,337.44704448282846
2,|,False,0,9.530806314950052,[0],[0],9.530806314950052,9.530806314950052,16.206717456530036,"[0.0, 9.530806314950052]",0.0,0.0,16.206717456530036,3.552713678800501e-15,1.1359102599511483e-16,-9.530806314950052,0.0,9.530806314950048,0.0,0.0,0.0,190.61612629900105,5.402239152176678,0.0,196.01836545117774,|,True,8.684372652062574,2.588426258768857,[0],[0],0,0.0,22.13971878721396,"[0.0, 0.0]",0.0,22.13971878721396,0.0,0.0,0.0,-33.91012047836767,8.843282057527727,25.066838420839943,0.0,0.0,0.0,678.2024095673535,14.759812524809306,0.0,692.9622220921627,|,False,3.1211956145617323,6.409610700388316,[0],[0],9.530806314950052,25.737523771480085,14.675474923641069,"[0.0, 16.206717456530036]",0.0,14.675474923641069,0.0,0.6656347676113903,0.01647080862850568,-25.737523771480085,2.455560846950342,23.28196292452974,0.0,0.0,0.0,514.7504754296017,9.783649949094045,0.0,524.5341253786958,|,False,8.684372652062574,[0],8.684372652062574,30.983000844741685,0.0,"[0.0, 22.13971878721396]",0.0,0.0,0.0,0.0,-30.983000844741685,30.983000844741685,0,0.0,619.6600168948337,0.0,0.0,619.6600168948337,|,False,2.588426258768857,[0],2.588426258768857,25.066838420839943,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-25.066838420839943,25.066838420839943,0,0.0,501.33676841679886,0.0,0.0,501.33676841679886,|,False,3.1211956145617323,[0],3.1211956145617323,17.13103577059141,0.0,"[0.0, 14.675474923641069]",0.0,0.0,0.0,0.0,-17.13103577059141,17.13103577059141,0,0.0,342.6207154118282,0.0,0.0,342.6207154118282,|,False,6.409610700388316,[0],6.409610700388316,23.28196292452974,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-23.28196292452974,23.28196292452974,0,0.0,465.6392584905948,0.0,0.0,465.6392584905948
3,|,False,0,19.50688892094762,[0],[0],19.50688892094762,19.50688892094762,9.530806314950052,"[0.0, 19.50688892094762]",0.0,0.0,9.530806314950052,3.552713678800501e-15,1.2988291686438227e-16,-19.50688892094762,0.0,19.506888920947617,0.0,0.0,0.0,390.1377784189524,3.1769354383166837,0.0,393.31471385726906,|,True,5.431720074873224,4.005401902763819,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-43.34724245600472,14.275002132400951,29.07224032360376,0.0,0.0,0.0,866.9448491200944,0.0,0.0,866.9448491200944,|,False,12.145480733368585,7.361408187579036,[0],[0],19.50688892094762,29.037695235897665,16.206717456530036,"[0.0, 9.530806314950052]",0.0,14.601041580318928,1.6056758762111087,12.145480733368586,0.21380406423767068,-29.037695235897672,0.0,29.037695235897665,0.0,0.0,0.0,580.7539047179534,10.804478304353356,0.0,591.5583830223068,|,False,5.431720074873224,[0],5.431720074873224,14.27500213240095,22.13971878721396,"[0.0, 0.0]",0.0,22.13971878721396,0.0,0.0,-14.275002132400951,14.275002132400951,0,0.0,285.500042648019,0.0,0.0,285.500042648019,|,False,4.005401902763819,[0],4.005401902763819,29.07224032360376,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-29.07224032360376,29.07224032360376,0,0.0,581.4448064720752,0.0,0.0,581.4448064720752,|,False,12.145480733368585,[0],12.145480733368585,14.601041580318928,14.675474923641069,"[0.0, 14.601041580318928]",0.0,14.675474923641069,0.0,0.0,-14.601041580318926,14.601041580318926,0,0.0,292.0208316063785,0.0,0.0,292.0208316063785,|,False,7.361408187579036,[0],7.361408187579036,30.643371112108774,0.0,"[0.0, 1.6056758762111087]",0.0,0.0,0.0,0.0,-30.643371112108774,30.643371112108774,0,0.0,612.8674222421755,0.0,0.0,612.8674222421755
4,|,False,0,13.8071330110124,[0],[0],13.8071330110124,13.8071330110124,19.50688892094762,"[0.0, 13.8071330110124]",0.0,0.0,19.50688892094762,3.552713678800501e-15,1.4823550693414903e-16,-13.8071330110124,0.0,13.807133011012397,0.0,0.0,0.0,276.142660220248,6.50229630698254,0.0,282.64495652723053,|,True,6.460253135709742,8.313736461482478,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-58.12123205319694,20.73525526811069,37.38597678508624,0.0,0.0,0.0,1162.424641063939,0.0,0.0,1162.424641063939,|,False,4.744498545210103,9.06263446580229,[0],[0],13.8071330110124,33.31402193196001,9.530806314950052,"[0.0, 19.50688892094762]",0.0,4.744498545210103,4.786307769739949,4.744498545210103,0.23811641779189985,-33.31402193196001,0.0,33.314021931960006,0.0,0.0,0.0,666.2804386392003,6.353870876633367,0.0,672.6343095158336,|,False,6.46025313570974,[0],6.460253135709742,20.73525526811069,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-20.73525526811069,20.73525526811069,0,0.0,414.7051053622138,0.0,0.0,414.7051053622138,|,False,8.313736461482478,[0],8.313736461482478,37.38597678508624,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-37.38597678508624,37.38597678508624,0,0.0,747.7195357017249,0.0,0.0,747.7195357017249,|,False,4.744498545210105,[0],4.744498545210103,4.744498545210103,14.601041580318928,"[0.0, 4.744498545210103]",0.0,14.601041580318928,1.7763568394002505e-15,5.221351675818333e-17,-4.744498545210103,4.744498545210103,0,0.0,94.88997090420206,0.0,0.0,94.88997090420206,|,False,9.06263446580229,[0],9.06263446580229,38.100329701699955,1.6056758762111087,"[0.0, 4.786307769739949]",0.0,1.6056758762111087,0.0,0.0,-38.100329701699955,38.100329701699955,0,0.0,762.0065940339991,0.0,0.0,762.0065940339991
5,|,False,0,19.537150556471943,[0],[0],19.537150556471943,19.53715055647194,13.8071330110124,"[0.0, 19.537150556471943]",0.0,0.0,13.8071330110124,3.552713678800501e-15,1.5392521342653345e-16,-19.537150556471943,0.0,19.53715055647194,0.0,0.0,0.0,390.74301112943886,4.602377670337466,0.0,395.34538879977634,|,True,6.301137237261636,7.174965485965767,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-71.59733477642435,27.036392505372326,44.56094227105201,0.0,0.0,0.0,1431.946695528487,0.0,0.0,1431.946695528487,|,False,6.2981166968312365,13.239033859640708,[0],[0],19.537150556471943,33.34428356748434,19.50688892094762,"[0.0, 13.8071330110124]",0.0,6.2981166968312365,13.208772224116384,6.2981166968312365,0.25576521444740885,-33.34428356748434,0.0,33.34428356748433,0.0,0.0,0.0,666.8856713496868,13.00459261396508,0.0,679.8902639636519,|,False,6.301137237261636,[0],6.301137237261636,27.036392505372326,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-27.036392505372326,27.036392505372326,0,0.0,540.7278501074466,0.0,0.0,540.7278501074466,|,False,7.174965485965767,[0],7.174965485965767,44.56094227105201,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-44.56094227105201,44.56094227105201,0,0.0,891.2188454210402,0.0,0.0,891.2188454210402,|,False,6.2981166968312365,[0],6.2981166968312365,6.2981166968312365,4.744498545210103,"[0.0, 6.2981166968312365]",0.0,4.744498545210103,0.0,4.405741796700325e-17,-6.2981166968312365,6.2981166968312365,0,0.0,125.96233393662473,0.0,0.0,125.96233393662473,|,False,13.239033859640708,[0],13.239033859640708,46.55305579160071,4.786307769739949,"[0.0, 13.208772224116384]",0.0,4.786307769739949,0.0,0.0,-46.55305579160071,46.55305579160071,0,0.0,931.0611158320143,0.0,0.0,931.0611158320143
6,|,False,0,11.04797132354717,[0],[0],11.047971323547173,11.04797132354717,19.537150556471943,"[0.0, 11.047971323547173]",0.0,0.0,19.537150556471943,3.552713678800501e-15,1.6857230771154705e-16,-11.04797132354717,0.0,11.047971323547166,0.0,0.0,0.0,220.9594264709434,6.512383518823981,0.0,227.4718099897674,|,True,10.32650834071463,4.5469327053478175,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-86.47077582248679,37.36290084608696,49.10787497639983,0.0,0.0,0.0,1729.4155164497356,0.0,0.0,1729.4155164497356,|,False,8.590755457483453,2.4572158660637156,[0],[0],11.04797132354717,30.585121880019113,13.8071330110124,"[0.0, 19.537150556471943]",0.0,8.590755457483453,5.216377553528947,8.590755457483453,0.31103268920295013,-30.58512188001911,0.0,30.585121880019102,0.0,0.0,0.0,611.7024376003822,9.204755340674932,0.0,620.9071929410571,|,False,10.32650834071463,[0],10.32650834071463,37.36290084608696,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-37.36290084608696,37.36290084608696,0,0.0,747.2580169217392,0.0,0.0,747.2580169217392,|,False,4.5469327053478175,[0],4.5469327053478175,49.10787497639983,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-49.10787497639983,49.10787497639983,0,0.0,982.1574995279966,0.0,0.0,982.1574995279966,|,False,8.590755457483453,[0],8.590755457483453,8.590755457483453,6.2981166968312365,"[0.0, 8.590755457483453]",0.0,6.2981166968312365,0.0,3.631897231759893e-17,-8.590755457483453,8.590755457483453,0,0.0,171.81510914966907,0.0,0.0,171.81510914966907,|,False,2.4572158660637156,[0],2.4572158660637156,35.801499433548045,13.208772224116384,"[0.0, 5.216377553528947]",0.0,13.208772224116384,0.0,0.0,-35.80149943354804,35.80149943354804,0,0.0,716.0299886709607,0.0,0.0,716.0299886709607
7,|,False,0,14.821247401196718,[0],[0],14.821247401196718,14.821247401196715,11.047971323547173,"[0.0, 14.821247401196718]",0.0,0.0,11.047971323547173,7.105427357601002e-15,2.0118272821235883e-16,-14.821247401196715,0.0,14.821247401196711,0.0,0.0,0.0,296.4249480239343,3.6826571078490575,0.0,300.1076051317834,|,True,10.088698905577571,8.484702694838845,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-105.0441774229032,47.45159975166453,57.59257767123867,0.0,0.0,0.0,2100.883548458064,0.0,0.0,2100.883548458064,|,False,7.6728972611627935,7.148350140033928,[0],[0],14.821247401196718,25.869218724743888,19.537150556471943,"[0.0, 11.047971323547173]",0.0,7.6728972611627935,11.86425329530915,7.6728972611627935,0.3367434057953689,-25.869218724743888,0.0,25.86921872474388,0.0,0.0,0.0,517.3843744948778,13.024767037647962,0.0,530.4091415325257,|,False,10.088698905577571,[0],10.088698905577571,47.45159975166453,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-47.45159975166453,47.45159975166453,0,0.0,949.0319950332906,0.0,0.0,949.0319950332906,|,False,8.484702694838845,[0],8.484702694838845,57.59257767123867,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-57.59257767123867,57.59257767123867,0,0.0,1151.8515534247736,0.0,0.0,1151.8515534247736,|,False,7.6728972611627935,[0],7.6728972611627935,7.672897261162795,8.590755457483453,"[0.0, 7.6728972611627935]",0.0,8.590755457483453,0.0,3.139394528224574e-17,-7.6728972611627935,7.6728972611627935,0,0.0,153.45794522325588,0.0,0.0,153.45794522325588,|,False,7.148350140033935,[0],7.148350140033928,37.73347202005303,5.216377553528947,"[0.0, 11.86425329530915]",0.0,5.216377553528947,0.0,0.0,-37.73347202005303,37.73347202005303,0,0.0,754.6694404010606,0.0,0.0,754.6694404010606
8,|,False,0,11.985268693329632,[0],[0],11.985268693329632,11.985268693329626,14.821247401196718,"[0.0, 11.985268693329632]",0.0,0.0,14.821247401196718,7.105427357601002e-15,2.318120379016351e-16,-11.985268693329628,0.0,11.985268693329624,0.0,0.0,0.0,239.70537386659257,4.940415800398906,0.0,244.64578966699148,|,True,6.697116805507589,10.989993178809659,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-122.73128740722045,54.14871655717212,68.58257085004833,0.0,0.0,0.0,2454.625748144409,0.0,0.0,2454.625748144409,|,False,8.971899290774326,3.0133694025553055,[0],[0],11.985268693329632,26.806516094526344,11.047971323547173,"[0.0, 14.821247401196718]",0.0,8.971899290774326,2.0760720327728475,8.971899290774326,0.374388231819761,-26.806516094526344,0.0,26.806516094526337,0.0,0.0,0.0,536.1303218905268,7.365314215698115,0.0,543.495636106225,|,False,6.697116805507589,[0],6.697116805507589,54.14871655717212,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-54.14871655717212,54.14871655717212,0,0.0,1082.9743311434424,0.0,0.0,1082.9743311434424,|,False,10.989993178809659,[0],10.989993178809659,68.58257085004833,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-68.58257085004833,68.58257085004833,0,0.0,1371.6514170009666,0.0,0.0,1371.6514170009666,|,False,8.971899290774328,[0],8.971899290774326,8.971899290774326,7.6728972611627935,"[0.0, 8.971899290774326]",0.0,7.6728972611627935,0.0,2.7097329094404043e-17,-8.971899290774328,8.971899290774328,0,0.0,179.43798581548657,0.0,0.0,179.43798581548657,|,False,3.0133694025553055,[0],3.0133694025553055,28.882588127299186,11.86425329530915,"[0.0, 2.0760720327728475]",0.0,11.86425329530915,0.0,0.0,-28.882588127299186,28.882588127299186,0,0.0,577.6517625459837,0.0,0.0,577.6517625459837
9,|,False,0,21.550164964673037,[0],[0],21.550164964673037,21.55016496467303,11.985268693329632,"[0.0, 21.550164964673037]",0.0,0.0,11.985268693329632,7.105427357601002e-15,2.438814692441665e-16,-21.550164964673034,0.0,21.55016496467303,0.0,0.0,0.0,431.00329929346066,3.9950895644432105,0.0,434.9983888579039,|,True,6.0853754529971775,9.730081806921596,[0],[0],0,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,-138.54674466713922,60.2340920101693,78.31265265696993,0.0,0.0,0.0,2770.9348933427846,0.0,0.0,2770.9348933427846,|,False,10.91610701502792,10.634057949645118,[0],[0],21.550164964673037,33.53543365800266,14.821247401196718,"[0.0, 11.985268693329632]",0.0,10.91610701502792,3.9051403861687977,10.91610701502792,0.39304285161672964,-33.53543365800267,0.0,33.53543365800266,0.0,0.0,0.0,670.7086731600533,9.880831600797812,0.0,680.5895047608511,|,False,6.0853754529971775,[0],6.0853754529971775,60.2340920101693,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-60.2340920101693,60.2340920101693,0,0.0,1204.681840203386,0.0,0.0,1204.681840203386,|,False,9.730081806921596,[0],9.730081806921596,78.31265265696993,0.0,"[0.0, 0.0]",0.0,0.0,0.0,0.0,-78.31265265696993,78.31265265696993,0,0.0,1566.2530531393986,0.0,0.0,1566.2530531393986,|,False,10.916107015027919,[0],10.91610701502792,10.91610701502792,8.971899290774326,"[0.0, 10.91610701502792]",0.0,8.971899290774326,0.0,2.3229220222562124e-17,-10.91610701502792,10.91610701502792,0,0.0,218.3221403005584,0.0,0.0,218.3221403005584,|,False,10.634057949645118,[0],10.634057949645118,37.440574044171456,2.0760720327728475,"[0.0, 3.9051403861687977]",0.0,2.0760720327728475,0.0,0.0,-37.440574044171456,37.440574044171456,0,0.0,748.8114808834291,0.0,0.0,748.8114808834291
