t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
Avg,|,1.6293766214148218,4.8603483137285854,4.860348313728585,4.860348313728585,4.8603483137285854,4.8603483137285854,4.842942661867718,0.9989673280528689,1.6296516862714143,0.017405651860867764,11.529401366925974,0.6460977970754114,0.0,12.175499164001383,|,5.141134240237425,5.050576592364808,4.902441308383484,4.860348313728585,4.902441308383485,4.8603483137285854,4.8603483137285854,1.0,5.29147960984692,0.0,21.16591843938768,0.0,19.441393254914342,40.60731169430203,|,6.084024831324625,9.829132267694364,4.9291185843949314,4.902441308383485,4.9291185843949314,4.902441308383485,4.75430602440216,0.93275249404008,6.220485824577611,0.14813528398132444,12.73724221711787,0.0,9.80488261676697,22.54212483388484
""
0,|,6.49,0.0,0.0,4.72928767693268,4.72928767693268,4.72928767693268,4.72928767693268,1.0,1.7607123230673203,0.0,12.324986261471242,0.0,0.0,12.324986261471242,|,5.53,0.0,0.0,4.72928767693268,4.72928767693268,4.72928767693268,4.72928767693268,1.0,0.8007123230673203,0.0,3.2028492922692813,0.0,18.91715070773072,22.12,|,10.69,0.0,0.0,4.72928767693268,4.729287676932678,4.72928767693268,4.72928767693268,1.0,5.96071232306732,0.0,11.92142464613464,0.0,9.45857535386536,21.38
1,|,1.7607123230673203,4.72928767693268,4.72928767693268,5.10484805260974,5.10484805260974,5.10484805260974,5.10484805260974,1.0,1.38515194739026,0.0,9.696063631731821,0.0,0.0,9.696063631731821,|,0.8007123230673203,4.72928767693268,4.72928767693268,5.10484805260974,9.83413572954242,5.10484805260974,5.10484805260974,1.0,0.4251519473902601,0.0,1.7006077895610403,0.0,20.41939221043896,22.12,|,5.96071232306732,4.729287676932678,0.0,9.83413572954242,19.29271108340778,5.96071232306732,5.96071232306732,0.7340307084148276,-3.8734234064750996,3.8734234064750996,0.0,0.0,11.92142464613464,11.92142464613464
2,|,1.38515194739026,5.104848052609741,5.10484805260974,5.250527815723572,5.250527815723571,5.250527815723572,5.250527815723572,1.0,1.239472184276428,0.0,8.676305289934996,0.0,0.0,8.676305289934996,|,0.4251519473902601,9.83413572954242,5.96071232306732,5.250527815723571,5.626088191400632,5.250527815723571,5.250527815723571,1.0,1.1353364547340083,0.0,4.541345818936033,0.0,21.002111262894285,25.54345708183032,|,-3.8734234064750996,24.02199876034046,4.729287676932678,5.626088191400632,2.503785536279654,4.729287676932678,0.8558642704575785,0.571874372219702,-4.770223920943054,4.770223920943054,0.0,0.0,9.458575353865356,9.458575353865356
3,|,1.239472184276428,5.250527815723571,5.250527815723571,4.074800034721923,4.074800034721924,4.074800034721923,4.074800034721923,1.0,2.4151999652780765,0.0,16.906399756946534,0.0,0.0,16.906399756946534,|,1.1353364547340083,9.499511597875731,4.729287676932678,4.074800034721924,4.220479797835757,4.074800034721924,4.074800034721924,1.0,1.7898240969447627,0.0,7.159296387779051,0.0,16.299200138887695,23.458496526666746,|,-4.770223920943054,21.796496619687435,19.29271108340778,4.220479797835757,2.759174539137888,8.99070371877881,4.220479797835757,0.6458971579589853,10.30200736462897,0.0,20.60401472925794,0.0,17.98140743755762,38.58542216681556
4,|,2.4151999652780765,4.074800034721924,4.074800034721924,5.567143660285906,5.567143660285906,5.567143660285906,5.567143660285906,1.0,0.9228563397140945,0.0,6.459994377998662,0.0,0.0,6.459994377998662,|,1.7898240969447627,8.99070371877881,8.99070371877881,5.567143660285906,4.391415879284255,5.567143660285906,5.567143660285906,1.0,5.213384155437668,0.0,20.85353662175067,0.0,22.268574641143623,43.12211126289429,|,10.30200736462897,5.262960075417542,2.503785536279654,4.391415879284255,7.331424377014903,4.391415879284255,4.391415879284255,0.6998880212731051,8.41437702162437,0.0,16.82875404324874,0.0,8.78283175856851,25.61158580181725
5,|,0.9228563397140945,5.567143660285905,5.567143660285906,3.959819783917062,3.959819783917063,3.959819783917062,3.959819783917062,1.0,2.5301802160829383,0.0,17.711261512580567,0.0,0.0,17.711261512580567,|,5.213384155437668,4.391415879284255,4.391415879284255,3.959819783917063,5.452163409481045,3.959819783917063,3.959819783917063,1.0,5.64498025080486,0.0,22.57992100321944,0.0,15.839279135668251,38.41920013888769,|,8.41437702162437,10.090598916152791,2.759174539137888,5.452163409481045,3.520946976552125,5.452163409481045,5.452163409481045,0.7476570426178859,5.721388151281213,0.0,11.442776302562425,0.0,10.90432681896209,22.347103121524516
6,|,2.5301802160829383,3.9598197839170624,3.959819783917063,4.846324048542063,4.846324048542063,4.846324048542063,4.846324048542063,1.0,1.6436759514579382,0.0,11.505731660205567,0.0,0.0,11.505731660205567,|,5.64498025080486,5.452163409481045,5.452163409481045,4.846324048542063,3.2390001721732204,4.846324048542063,4.846324048542063,1.0,6.250819611743842,0.0,25.00327844697537,0.0,19.38529619416825,44.38857464114362,|,5.721388151281213,10.852371353567028,7.331424377014903,3.2390001721732204,1.2000802004371849,3.2390001721732204,3.2390001721732204,0.7694570649618431,9.813812356122895,0.0,19.62762471224579,0.0,6.478000344346441,26.10562505659223
7,|,1.6436759514579382,4.846324048542062,4.846324048542063,5.7898518103468195,5.7898518103468195,5.7898518103468195,5.7898518103468195,1.0,0.7001481896531816,0.0,4.901037327572271,0.0,0.0,4.901037327572271,|,6.250819611743842,3.2390001721732204,3.2390001721732204,5.7898518103468195,6.676356074971819,5.7898518103468195,5.7898518103468195,1.0,3.699967973570244,0.0,14.799871894280976,0.0,23.159407241387278,37.959279135668254,|,9.813812356122895,4.72102717698931,3.520946976552125,6.676356074971819,6.957020978657836,6.676356074971819,6.676356074971819,0.8043047923532435,6.658403257703201,0.0,13.316806515406402,0.0,13.352712149943638,26.66951866535004
