t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
Avg,|,0.5517351294452406,5.559626212139833,5.126314289164311,5.130610814737397,5.130610814737397,5.130610814737397,4.709141561500282,0.9044816081562753,0.5089045346230502,0.4214692532371157,6.512616515021162,15.644938680161736,0.0,22.157555195182898,|,0.4092792854298094,5.600072109381561,5.130610814737397,5.130610814737397,5.130610814737397,5.126314289164311,4.697298891761864,0.9066657848143924,0.37035045684700174,0.43760844854861886,3.2146495192901376,0.0,20.505257156657244,23.719906675947378,|,0.6503501973124204,10.20162510390171,5.130610814737397,5.130610814737397,5.130610814737397,5.130610814737397,4.661149520093229,0.8895681361807906,0.5694642052049173,0.4694612946441689,2.0778509996981724,0.0,10.261221629474795,12.339072629172966
""
0,|,6.49,0.0,0.0,4.082375026771819,4.082375026771819,4.082375026771819,4.082375026771819,1.0,2.407624973228181,0.0,16.853374812597266,0.0,0.0,16.853374812597266,|,5.53,0.0,0.0,4.082375026771819,4.082375026771819,4.082375026771819,4.082375026771819,1.0,1.447624973228181,0.0,5.790499892912724,0.0,16.329500107087277,22.12,|,10.69,0.0,0.0,4.082375026771819,4.082375026771821,4.082375026771819,4.082375026771819,1.0,6.60762497322818,0.0,13.21524994645636,0.0,8.164750053543639,21.38
1,|,2.407624973228181,4.082375026771819,4.082375026771819,5.214738965595003,5.214738965595003,5.214738965595003,5.214738965595003,1.0,1.2752610344049975,0.0,8.926827240834982,0.0,0.0,8.926827240834982,|,1.447624973228181,4.082375026771819,4.082375026771819,5.214738965595003,5.214738965595003,5.214738965595003,5.214738965595003,1.0,0.31526103440499753,0.0,1.2610441376199901,0.0,20.85895586238001,22.12,|,6.60762497322818,4.082375026771821,0.0,5.214738965595003,5.214738965595004,5.214738965595003,5.214738965595003,1.0,1.3928860076331775,0.0,2.785772015266355,0.0,10.429477931190005,13.21524994645636
2,|,1.2752610344049975,5.214738965595002,5.214738965595003,7.919040905256301,7.919040905256302,6.49,6.49,0.9169941886702243,-1.4290409052563007,1.4290409052563007,0.0,53.04599840311388,0.0,53.04599840311388,|,0.31526103440499753,5.214738965595002,5.214738965595003,7.919040905256302,7.919040905256302,5.53,5.53,0.8612326085898464,-2.3890409052563015,2.3890409052563015,0.0,0.0,22.12,22.12,|,1.3928860076331775,9.297113992366825,4.082375026771821,7.919040905256302,7.919040905256299,5.475261034404999,5.475261034404999,0.8580530969090726,-2.443779870851303,2.443779870851303,0.0,0.0,10.950522068809997,10.950522068809997
3,|,-1.4290409052563007,7.9190409052563,5.53,6.1856016617309315,4.756560756474632,5.53,4.1009590947437,0.8498538576225357,-2.084642566987232,2.084642566987232,0.0,77.38193208656604,0.0,77.38193208656604,|,-2.3890409052563015,7.9190409052563,5.475261034404999,4.756560756474632,4.756560756474632,5.475261034404999,3.086220129148697,0.8152535354989136,-1.6703406273259347,1.6703406273259347,0.0,0.0,21.901044137619994,21.901044137619994,|,-2.443779870851303,13.133779870851303,5.214738965595004,4.756560756474632,4.756560756474631,5.214738965595004,2.7709590947437004,0.7984144699129994,-1.9856016617309313,1.9856016617309313,0.0,0.0,10.429477931190007,10.429477931190007
4,|,-2.084642566987232,7.1456016617309315,5.475261034404999,3.6701104418022688,3.0145087800713375,5.475261034404999,3.3906184674177666,0.8598849703839777,-0.27949197438450213,0.27949197438450213,0.0,10.374742089152718,0.0,10.374742089152718,|,-1.6703406273259347,7.200340627325933,5.214738965595004,3.0145087800713375,4.443549685327638,4.684849407397272,3.0145087800713375,0.8375417188380802,0.5298895581977314,0.0,2.1195582327909257,0.0,18.73939762958909,20.858955862380014,|,-1.9856016617309313,12.67560166173093,7.919040905256299,4.443549685327638,5.87259059058394,6.4291513470585695,4.443549685327638,0.832323703760973,1.4898895581977296,0.0,2.9797791163954592,0.0,12.858302694117139,15.838081810512598
5,|,-0.27949197438450213,4.68484940739727,4.684849407397272,5.153137082728861,6.958287675331591,4.684849407397272,4.40535743301277,0.8590859729754099,-0.7477796497160911,0.7477796497160911,0.0,27.7575805974613,0.0,27.7575805974613,|,0.5298895581977314,6.429151347058568,6.4291513470585695,6.958287675331591,7.613889337062521,6.958287675331591,6.958287675331591,0.8729279556180611,0.0007532299247099417,0.0,0.0030129196988397666,0.0,27.833150701326364,27.836163621025204,|,1.4898895581977296,10.62915134705857,4.756560756474631,7.613889337062521,6.84045009353715,6.2464503146723604,6.2464503146723604,0.8296563559560447,-1.367439022390161,1.367439022390161,0.0,0.0,12.492900629344721,12.492900629344721
6,|,-0.7477796497160911,6.958287675331589,6.958287675331591,5.887915052599164,5.419627377267575,6.635694702315255,5.887915052599164,0.8808552270666352,0.32259297301633616,0.0,2.258150811114353,0.0,0.0,2.258150811114353,|,0.0007532299247099417,7.613889337062519,6.2464503146723604,5.419627377267575,3.614476784664845,5.419627377267575,5.419627377267575,0.8913591227454204,0.8275761673294957,0.0,3.3103046693179827,0.0,21.6785095090703,24.98881417838828,|,-1.367439022390161,12.71304068412109,5.87259059058394,3.614476784664845,1.1537245303311856,4.981915807055006,3.614476784664845,0.8460120253546802,0.8906747835289339,0.0,1.7813495670578678,0.0,9.963831614110012,11.74518118116788
7,|,0.32259297301633616,5.419627377267573,5.419627377267575,4.270123028740412,5.017902678456503,4.270123028740412,4.270123028740412,0.8928591515766656,1.4720973215434991,0.0,10.304681250804494,0.0,0.0,10.304681250804494,|,0.8275761673294957,4.981915807055003,4.981915807055006,5.017902678456503,5.486190353788093,5.017902678456503,5.017902678456503,0.9042215630308634,0.7915892959279986,0.0,3.1663571837119946,0.0,20.07161071382601,23.237967897538006,|,0.8906747835289339,7.994174623868336,6.84045009353715,5.486190353788093,7.75962862172241,5.486190353788093,5.486190353788093,0.8655991165704074,2.2449345232779914,0.0,4.489869046555983,0.0,10.972380707576185,15.462249754132168
