t,|i=0,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=1,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC,|i=2,IL,OO,IS,IO,OQ,OS,DMFS,FR,EIL,BO,HC,SC,ITHC,TC
Avg,|,0.7698679345642996,5.754237348053128,5.126314289164311,5.130610814737397,5.130610814737397,5.130610814737397,4.814695218201776,0.9266871925382801,0.7357626519468715,0.31591559653562185,7.361747739377454,11.726786943402281,0.0,19.088534682779738,|,-0.028505022885942772,5.614945223801381,5.130610814737397,5.130610814737397,5.130610814737397,5.126314289164311,4.502687755848585,0.8578434187381881,-0.0849452238013805,0.632219584461899,2.171911340349728,0.0,20.505257156657244,22.67716849700697,|,0.572379707786805,10.201625103901723,5.130610814737397,5.130610814737397,5.130610814737397,5.130610814737397,4.64627640567342,0.8855517582430957,0.4883748960982773,0.48433440906397807,1.945418610324511,0.0,10.261221629474795,12.206640239799306
""
0,|,6.49,0.0,0.0,4.082375026771819,4.082375026771819,4.082375026771819,4.082375026771819,1.0,2.407624973228181,0.0,16.853374812597266,0.0,0.0,16.853374812597266,|,5.53,0.0,0.0,4.082375026771819,4.082375026771819,4.082375026771819,4.082375026771819,1.0,1.447624973228181,0.0,5.790499892912724,0.0,16.329500107087277,22.12,|,10.69,0.0,0.0,4.082375026771819,4.082375026771819,4.082375026771819,4.082375026771819,1.0,6.60762497322818,0.0,13.21524994645636,0.0,8.164750053543639,21.38
1,|,2.407624973228181,4.082375026771819,4.082375026771819,5.214738965595003,5.214738965595003,5.214738965595003,5.214738965595003,1.0,1.2752610344049975,0.0,8.926827240834982,0.0,0.0,8.926827240834982,|,1.447624973228181,4.082375026771819,4.082375026771819,5.214738965595003,5.214738965595003,5.214738965595003,5.214738965595003,1.0,0.31526103440499753,0.0,1.2610441376199901,0.0,20.85895586238001,22.12,|,6.60762497322818,4.082375026771819,0.0,5.214738965595003,5.214738965595003,5.214738965595003,5.214738965595003,1.0,1.3928860076331775,0.0,2.785772015266355,0.0,10.429477931190005,13.21524994645636
2,|,1.2752610344049975,5.214738965595002,5.214738965595003,7.919040905256301,7.919040905256302,6.49,6.49,0.9169941886702243,-1.4290409052563007,1.4290409052563007,0.0,53.04599840311388,0.0,53.04599840311388,|,0.31526103440499753,5.214738965595002,5.214738965595003,7.919040905256302,7.919040905256303,5.53,5.53,0.8612326085898464,-2.3890409052563015,2.3890409052563015,0.0,0.0,22.12,22.12,|,1.3928860076331775,9.297113992366821,4.082375026771819,7.919040905256303,7.919040905256304,5.475261034404997,5.475261034404997,0.8580530969090726,-2.443779870851306,2.443779870851306,0.0,0.0,10.950522068809994,10.950522068809994
3,|,-1.4290409052563007,7.9190409052563,5.53,6.1856016617309315,6.185601661730932,5.53,4.1009590947437,0.8498538576225357,-2.084642566987232,2.084642566987232,0.0,77.38193208656604,0.0,77.38193208656604,|,-2.3890409052563015,7.919040905256302,5.475261034404997,6.185601661730932,6.185601661730932,5.475261034404997,3.0862201291486953,0.7654696379770378,-3.099381532582237,3.099381532582237,0.0,0.0,21.901044137619987,21.901044137619987,|,-2.443779870851306,13.133779870851308,5.214738965595003,6.185601661730932,6.185601661730931,5.214738965595003,2.770959094743697,0.7496588590271085,-3.4146425669872356,3.4146425669872356,0.0,0.0,10.429477931190005,10.429477931190005
4,|,-2.084642566987232,8.574642566987233,5.475261034404997,3.6701104418022688,3.670110441802268,5.475261034404997,3.390618467417765,0.8598849703839777,-0.2794919743845039,0.2794919743845039,0.0,10.374742089152784,0.0,10.374742089152784,|,-3.099381532582237,8.629381532582237,5.214738965595003,3.670110441802268,3.6701104418022688,5.214738965595003,2.1153574330127656,0.7398341441937786,-1.5547530087895023,1.5547530087895023,0.0,0.0,20.85895586238001,20.85895586238001,|,-3.4146425669872356,14.104642566987234,7.919040905256304,3.6701104418022688,3.6701104418022705,7.084753008789504,3.6701104418022688,0.783597398820395,0.8342878964668001,0.0,1.6685757929336003,0.0,14.169506017579009,15.838081810512609
5,|,-0.2794919743845039,6.769491974384505,5.214738965595003,5.153137082728861,5.15313708272886,5.214738965595003,4.935246991210499,0.8755294017122494,-0.21789009151836236,0.21789009151836236,0.0,8.08808019716161,0.0,8.08808019716161,|,-1.5547530087895023,7.0847530087895025,7.084753008789504,5.15313708272886,5.15313708272886,6.707890091518363,5.15313708272886,0.7814375623260159,0.37686291727114174,0.0,1.507451669084567,0.0,26.83156036607345,28.339012035158017,|,0.8342878964668001,9.855712103533198,6.185601661730931,5.15313708272886,5.153137082728862,5.15313708272886,5.15313708272886,0.8182025850923578,1.8667524754688705,0.0,3.733504950937741,0.0,10.30627416545772,14.039779116395462
6,|,-0.21789009151836236,6.707890091518363,6.707890091518363,5.887915052599164,5.887915052599164,6.105805144117526,5.887915052599164,0.8947583751382946,0.6020849474008365,0.0,4.214594631805856,0.0,0.0,4.214594631805856,|,0.37686291727114174,5.1531370827288585,5.15313708272886,5.887915052599164,5.887915052599164,5.530000000000002,5.530000000000002,0.8058115025846352,-0.3579150525991617,0.3579150525991617,0.0,0.0,22.120000000000008,22.120000000000008,|,1.8667524754688705,8.82324752453113,3.6701104418022705,5.887915052599164,5.887915052599162,5.536862917271141,5.536862917271141,0.8370769095138026,-0.3510521353280227,0.3510521353280227,0.0,0.0,11.073725834542282,11.073725834542282
7,|,0.6020849474008365,5.887915052599165,5.530000000000002,4.270123028740412,4.270123028740411,4.270123028740412,4.270123028740412,0.9053615471369472,1.8619619186604268,0.0,13.033733430622988,0.0,0.0,13.033733430622988,|,-0.3579150525991617,5.887915052599163,5.536862917271141,4.270123028740411,4.27012302874041,4.6280380813395725,4.270123028740411,0.8253761381645278,0.9088248359315685,0.0,3.635299343726274,0.0,18.51215232535829,22.147451669084564,|,-0.3510521353280227,11.041052135328021,5.153137082728862,4.27012302874041,4.270123028740412,4.621175164068433,4.27012302874041,0.8534915320858814,0.5319619186604294,0.0,1.0639238373208588,0.0,9.242350328136865,10.306274165457724
