  t  | i=0 pr=-1000      IO:EXT|-1000    OQ:1|-1    OQ:2|-2    IS:1|-1    IS:2|-2    OS:EXT|-1000    IL:-1000    HC    SC    TC  | i=1 pr=-1      IO:0|-1    OQ:EXT|-2    IS:EXT|-2    OS:0|-1    IL:-1    HC    SC    TC  | i=2 pr=-2      IO:0|-2    OQ:EXT|-3    IS:EXT|-3    OS:0|-2    IL:-2    HC    SC    TC
---  ----------------  --------------  ---------  ---------  ---------  ---------  --------------  ----------  ----  ----  ----  -------------  ---------  -----------  -----------  ---------  -------  ----  ----  ----  -------------  ---------  -----------  -----------  ---------  -------  ----  ----  ----
  0  |                              5          5          5          0          0               5           2     4     0     4  |                      5            5            0          5        8     8     0    13  |                      5            5            0          5        6     6     0    11
  1  |                              3          3          3          5          5               3           4     8     0     8  |                      3            3            0          3        5     5     0     8  |                      3            3            0          3        3     3     0     6
  2  |                              6          6          6          3          3               6           1     2     0     2  |                      6            6            5          6        4     4     0    10  |                      6            6            5          6        2     2     0     8
  3  |                              6          6          6          6          6               6           1     2     0     2  |                      6            6            3          6        1     1     0     7  |                      6            6            3          5       -1     0     0     5
  4  |                              6          6          6          6          5               6           0     1     0     1  |                      6            6            6          6        1     1     0     7  |                      6            6            6          6       -1     0     0     6
  5  |                              7          7          7          6          6               6          -1     1    20    21  |                      7            7            6          7        0     0     0     7  |                      7            7            6          6       -2     0     0     6
  6  |                              5          5          5          7          6               6           0     2     0     2  |                      5            5            6          5        1     1     0     6  |                      5            5            6          6       -1     0     0     6
  7  |                              5          5          5          5          6               5           1     3     0     3  |                      5            5            7          5        3     3     0     8  |                      5            5            7          6        1     1     0     7
  8  |                              5          5          5          5          6               5           2     4     0     4  |                      5            5            5          5        3     3     0     8  |                      5            5            5          5        1     1     0     6
  9  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            5          5        3     3     0     8  |                      5            5            5          5        1     1     0     6
 10  |                              7          7          7          5          5               7           0     0     0     0  |                      7            7            5          7        1     1     0     8  |                      7            7            5          6       -1     0     0     6
 11  |                              6          6          6          7          6               6           0     1     0     1  |                      6            6            5          6        0     0     0     6  |                      6            6            5          5       -2     0     0     5
 12  |                              3          3          3          6          5               3           2     6     0     6  |                      3            3            7          3        4     4     0     7  |                      3            3            7          5        2     2     0     7
 13  |                              5          5          5          3          5               5           2     4     0     4  |                      5            5            6          5        5     5     0    10  |                      5            5            6          5        3     3     0     8
 14  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            3          6        2     2     0     8  |                      6            6            3          6        0     0     0     6
 15  |                              3          3          3          6          6               3           4     8     0     8  |                      3            3            5          3        4     4     0     7  |                      3            3            5          3        2     2     0     5
 16  |                              6          6          6          3          3               6           1     2     0     2  |                      6            6            6          6        4     4     0    10  |                      6            6            6          6        2     2     0     8
 17  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            3          5        2     2     0     7  |                      5            5            3          5        0     0     0     5
 18  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            6          4        4     4     0     8  |                      4            4            6          4        2     2     0     6
 19  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            5          5        4     4     0     9  |                      5            5            5          5        2     2     0     7
 20  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            4          4        4     4     0     8  |                      4            4            4          4        2     2     0     6
 21  |                              6          6          6          4          4               6           1     2     0     2  |                      6            6            5          6        3     3     0     9  |                      6            6            5          6        1     1     0     7
 22  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            4          5        2     2     0     7  |                      5            5            4          5        0     0     0     5
 23  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            6          5        3     3     0     8  |                      5            5            6          5        1     1     0     6
 24  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            5          4        4     4     0     8  |                      4            4            5          4        2     2     0     6
 25  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            5          5        4     4     0     9  |                      5            5            5          5        2     2     0     7
 26  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            4          4        4     4     0     8  |                      4            4            4          4        2     2     0     6
 27  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            5          5        4     4     0     9  |                      5            5            5          5        2     2     0     7
 28  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            4          4        4     4     0     8  |                      4            4            4          4        2     2     0     6
 29  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            5          5        4     4     0     9  |                      5            5            5          5        2     2     0     7
 30  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            4          6        2     2     0     8  |                      6            6            4          6        0     0     0     6
 31  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            5          5        2     2     0     7  |                      5            5            5          5        0     0     0     5
 32  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            6          5        3     3     0     8  |                      5            5            6          5        1     1     0     6
 33  |                              5          5          5          5          5               5           2     4     0     4  |                      5            5            5          5        3     3     0     8  |                      5            5            5          5        1     1     0     6
 34  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            5          6        2     2     0     8  |                      6            6            5          6        0     0     0     6
 35  |                              6          6          6          6          6               6           1     2     0     2  |                      6            6            5          6        1     1     0     7  |                      6            6            5          5       -1     0     0     5
 36  |                              6          6          6          6          5               6           0     1     0     1  |                      6            6            6          6        1     1     0     7  |                      6            6            6          6       -1     0     0     6
 37  |                              5          5          5          6          6               5           1     3     0     3  |                      5            5            6          5        2     2     0     7  |                      5            5            6          6        0     0     0     6
 38  |                              4          4          4          5          6               4           3     6     0     6  |                      4            4            6          4        4     4     0     8  |                      4            4            6          4        2     2     0     6
 39  |                              3          3          3          4          4               3           4     8     0     8  |                      3            3            5          3        6     6     0     9  |                      3            3            5          3        4     4     0     7
 40  |                              4          4          4          3          3               4           3     6     0     6  |                      4            4            4          4        6     6     0    10  |                      4            4            4          4        4     4     0     8
 41  |                              8          8          8          4          4               7          -1     0    20    20  |                      8            8            3          8        1     1     0     9  |                      8            8            3          7       -1     0     0     7
 42  |                              5          5          5          8          7               6           1     3     0     3  |                      5            5            4          5        0     0     0     5  |                      5            5            4          4       -2     0     0     4
 43  |                              4          4          4          5          4               4           1     4     0     4  |                      4            4            8          4        4     4     0     8  |                      4            4            8          6        2     2     0     8
 44  |                              6          6          6          4          6               6           1     2     0     2  |                      6            6            5          6        3     3     0     9  |                      6            6            5          6        1     1     0     7
 45  |                              5          5          5          6          6               5           2     4     0     4  |                      5            5            4          5        2     2     0     7  |                      5            5            4          5        0     0     0     5
 46  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            6          6        2     2     0     8  |                      6            6            6          6        0     0     0     6
 47  |                              6          6          6          6          6               6           1     2     0     2  |                      6            6            5          6        1     1     0     7  |                      6            6            5          5       -1     0     0     5
 48  |                              4          4          4          6          5               4           2     5     0     5  |                      4            4            6          4        3     3     0     7  |                      4            4            6          5        1     1     0     6
 49  |                              4          4          4          4          5               4           3     6     0     6  |                      4            4            6          4        5     5     0     9  |                      4            4            6          4        3     3     0     7
 50  |                              6          6          6          4          4               6           1     2     0     2  |                      6            6            4          6        3     3     0     9  |                      6            6            4          6        1     1     0     7
 51  |                              4          4          4          6          6               4           3     6     0     6  |                      4            4            4          4        3     3     0     7  |                      4            4            4          4        1     1     0     5
 52  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            6          5        4     4     0     9  |                      5            5            6          5        2     2     0     7
 53  |                              4          4          4          5          5               4           3     6     0     6  |                      4            4            4          4        4     4     0     8  |                      4            4            4          4        2     2     0     6
 54  |                              5          5          5          4          4               5           2     4     0     4  |                      5            5            5          5        4     4     0     9  |                      5            5            5          5        2     2     0     7
 55  |                              6          6          6          5          5               6           1     2     0     2  |                      6            6            4          6        2     2     0     8  |                      6            6            4          6        0     0     0     6
